breed,synonym,Parker2017,Garamszegi2020,activityCareau2010,aggressivenessCareau2010,trainabilityCareau2010,w1AKC,w2AKC,w1Bell,w2Bell,w1malesAKC,w2malesAKC,w1malesBell,w2malesBell,w1femalesAKC,w2femalesAKC,w1femalesBell,w2femalesBell,wAKC,wAKCmales,wAKCfemales,wBell2012,wBellmales,wBellfemales,wFan2016,wFan2016males,wFan2016females,wSpeakman2003,wKraus2013,wGerstner2010,wHawthorne2004,wCareau2010,wJimenez2020,weightcompendia,weightpapers,weight,l1AKC,l2AKC,l1Bell,l2Bell,lAKC,lBell,lMichell1999,lProschowsky2003,,lONeill2013,lLeroy2015b,lifespan,mortalityrateCareau2010,lsClark2017,lsBell2012,lsLeroy2015,lsOkkens1993,lsSchrack2017,lsGroppetti2015,lsBorge2011,lsNielen2000,lsOgrak2009,lsWildt1982,lsYilmaz2007,lsGroppetti2017,lsMila2015,lsThomassen2006,lsGoleman2015,lsGubbels2008,lswebsite1,lswebsite2,lscompendia,lspapers,littersize,malesperlitterGubbels2008,femalesperlitterGubbels2008,bwClark2017,bwFan2016,bwYlmaz2007,bwGroppetti2017,bwGroppetti2015,bwFan2016males,bwFan2016females,bwcompendia,bwpapers,bwpaperskg,bw,bwkg,bwkgxls,grHawthorne2004,grPosadas2014,expgr,T99Hawthorne2004,T99Posadas2014,T99,growth,n,OScardiovascular,OSdermatologic,OSendocrine,OSgastrointestinal,OShematopoietic,OShepatic,OSmusculoskeletal,OSneurologic,OSophthalmologic,OSrespiratory,OSurogenital,OSunclear,PPcongenital,PPdegenenerative,PPinfectious,PPinflammatory,PPmetabolic,PPneoplastic,PPtoxic,PPtraumatic,PPvascular,PPunclear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basset Hound,Basset Hound,BASS,BASS,75,78,83,18.144,29.483,18,27,,,,,,,,,23.814,,,22.5,,,10.89,10.89,,,26,,,19.28,35.91836735,23.157,18.723,20.94,12,13,12,,12.5,12,12.8,,,,10.3,11.811,377,,,5.14,,,,6.7,,,,,7,,,,,,,,6.28,6.28,,,,450,,448,,450,,,449,0.449,449,0.449,2.8197,,12.3,12.3,,52,52,5203.6927,650,0.057,0.023,0.034,0.125,0.122,0.037,0.082,0.152,0.02,0.077,0.085,0.188,0.037,0.014,0.063,0.015,0.032,0.378,0.018,0.085,0.012,0.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beagle,Beagle,BEAG,BEAG,108,95,76,9.072,13.608,5.5,13.5,,,,,,,,,11.34,,,9.5,,,,,,,10,9.412,17.4,9.07,12.44142101,10.42,11.471,10.945,10,15,13,15,12.5,14,16,10,,,,14.625,293.5,,,,,,7,5.5,,,,,7.5,,,,4.95,,,,6.238,6.238,2.63,2.32,,,,303.5,,,,,303.5,0.304,303.5,0.304,1.8931,17,9.12,13.06,41.9,58,49.95,3636.3427,980,0.085,0.015,0.039,0.094,0.05,0.026,0.115,0.13,0.006,0.069,0.126,0.246,0.02,0.019,0.115,0.017,0.049,0.231,0.017,0.16,0.005,0.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedlington Terrier,Bedlington Terrier,BEDT,BEDT,,,,7.711,10.433,,,,,9,10.5,,,7.5,9,9.072,,,9,9.75,8.25,,,,,,,,,,9.024,,9.024,11,16,12,14,13.5,13,14.3,,,,,13.775,,5,,,,,,3.6,,,,,,,,,,,,5,3.6,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgian Shepherd,Chien de Berger Belge,BELS,BELS,,,,,,27.5,28.5,24.948,34.019,,,20.412,27.216,,,26.649,29.483,23.814,28,,,,,,,,,,,,27.099,,27.099,12,14,12,14,13,13,,,,,,13,,9.5,,,,,,,,,,,,,,,,,,9.5,,9.5,,,453.592,,,425,,,,453.592,425,0.425,439.296,0.439,4.1733,,,,,,,5966.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bearded Collie,Bearded Collie,BERD,BERD,,,,20.412,24.948,,,,,18,27,,,18,27,22.68,,,22.5,22.5,22.5,22.5,22.5,,,,,,,,22.56,22.5,22.53,12,14,12,14,13,13,12.3,,,13.7,,13,,8,,,,,,5.4,,,,,6,,,,,,,8,5.7,6.467,,,255.146,298,,395,,298,,255.146,346.5,0.347,316.049,0.316,2.0438,,,,,,,7075.9872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bichon Frise,Bichon a Poil Frise,BICH,BICH,109,80,110,5.443,8.165,3,6,,,,,,,,,6.804,,,4.5,,,,,,,5,,,8.16,,5.652,6.58,6.116,14,15,14,16,14.5,15,,,,12.7,,13.725,147,,,,,,,4.6,,,,,,3.75,,,,,,,4.175,4.175,,,,,,,,,,,,,,,,,,,,,,,287,0.101,0.024,0.056,0.108,0.084,0.063,0.042,0.136,0.01,0.101,0.115,0.16,0.042,0.028,0.066,0.049,0.08,0.213,0.014,0.084,0,0.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgian Shepherd (Malinois),Chien de Berger Belge (Malinois),BMAL,BMAL,,,,,,28,34,27.216,36.287,,,18.144,27.216,,,27.216,31.751,22.68,31,,,,,,,,,,,,28.477,,28.477,14,16,12,14,15,13,,,,,,14,,9.5,,,,,,7.1,,,,,7,,,,,,,9.5,7.05,7.867,,,453.592,,,,,,,453.592,,,453.592,0.454,3.5683,,,,,,,5900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernese Mountain Dog,Berner Sennenhund,BMD,BMD,,,,,,,,36.287,52.163,36,52,31.751,43.091,34,43,40.823,44.225,37.421,41.25,44,38.5,44,44,,,45,40.94,,,44.71655329,41.037,43.313,42.175,7,10,7,9,8.5,8,7,7,,,8.15,7.8,,,,5.51,8.2,,5.5,6.4,7.29,,,,6,,,,,,,,6.483,6.483,,,,520,,541,558,520,,,539.667,0.54,539.667,0.54,3.4988,,,,,,,7464.5361,119,0.101,0.008,0.017,0.067,0.092,0.059,0.084,0.101,0,0.092,0.076,0.303,0.076,0,0.084,0.076,0.025,0.546,0,0.034,0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Border Collie,Border Collie,BORD,BORD,,,,13.608,24.948,,,,,13.5,20.5,,,12,19,19.278,,,16.25,17,15.5,15.5,,15.5,,17,,,,17.32426304,17.259,16.25,16.755,12,15,12,15,13.5,13.5,13,,,13.5,,13.333,,6.5,,,,,7.5,6,,,,,7,,,,,,,6.5,6.833,6.75,,,453.592,362,,350,,,362,453.592,356,0.356,388.531,0.389,2.6226,,,,,,,4861.683,314,0.057,0.016,0.022,0.092,0.118,0.045,0.143,0.124,0.013,0.076,0.073,0.22,0.025,0.01,0.108,0.048,0.035,0.261,0.01,0.175,0,0.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Border Terrier,Border Terrier,BORT,BORT,,,,,,,,5.897,7.031,6,7,5.216,6.35,5,6,6.123,6.464,5.783,6,6.5,5.5,7.09,7.49,6.69,,,,,,9.055177627,6.062,7.09,6.576,12,15,13,15,13.5,14,13.8,,,12,,13.183,,5.5,,,,,,5.1,,,,,5,,,,4.39,,,5.5,4.83,4.998,2.29,2.1,283.495,177,,193,,184,170,283.495,185,0.185,217.832,0.218,1.0886,,,,,,,2711.1119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
