breed,synonym,Parker2017,Garamszegi2020,activityCareau2010,aggressivenessCareau2010,trainabilityCareau2010,w1AKC,w2AKC,w1Bell,w2Bell,w1malesAKC,w2malesAKC,w1malesBell,w2malesBell,w1femalesAKC,w2femalesAKC,w1femalesBell,w2femalesBell,wAKC,wAKCmales,wAKCfemales,wBell2012,wBellmales,wBellfemales,wFan2016,wFan2016males,wFan2016females,wSpeakman2003,wKraus2013,wGerstner2010,wHawthorne2004,wCareau2010,wJimenez2020,weightcompendia,weightpapers,weight,l1AKC,l2AKC,l1Bell,l2Bell,lAKC,lBell,lMichell1999,lProschowsky2003,,lONeill2013,lLeroy2015b,lifespan,mortalityrateCareau2010,lsClark2017,lsBell2012,lsLeroy2015,lsOkkens1993,lsSchrack2017,lsGroppetti2015,lsBorge2011,lsNielen2000,lsOgrak2009,lsWildt1982,lsYilmaz2007,lsGroppetti2017,lsMila2015,lsThomassen2006,lsGoleman2015,lsGubbels2008,lswebsite1,lswebsite2,lscompendia,lspapers,littersize,malesperlitterGubbels2008,femalesperlitterGubbels2008,bwClark2017,bwFan2016,bwYlmaz2007,bwGroppetti2017,bwGroppetti2015,bwFan2016males,bwFan2016females,bwcompendia,bwpapers,bwpaperskg,bw,bwkg,bwkgxls,grHawthorne2004,grPosadas2014,expgr,T99Hawthorne2004,T99Posadas2014,T99,growth,n,OScardiovascular,OSdermatologic,OSendocrine,OSgastrointestinal,OShematopoietic,OShepatic,OSmusculoskeletal,OSneurologic,OSophthalmologic,OSrespiratory,OSurogenital,OSunclear,PPcongenital,PPdegenenerative,PPinfectious,PPinflammatory,PPmetabolic,PPneoplastic,PPtoxic,PPtraumatic,PPvascular,PPunclear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Russell Terrier,Jack Russell Terrier,JACK,JACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.528344671,,,,,,,,,,13.6,,,13.4,,13.5,,,,,,,4.67,4.4,,,,,5,3,,4.08,,,,,4.23,4.23,,,,,,200,,,,,200,0.2,200,0.2,0.846,,,,,,,,116,0.078,0.026,0.026,0.078,0.069,0.026,0.095,0.207,0.009,0.078,0.043,0.267,0.069,0.026,0.095,0.034,0.034,0.172,0.034,0.198,0.009,0.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
German Spitz (Keeshond),German Spitz (Keeshond),KEES,KEES,91,89,107,15.876,20.412,25,29.5,,,,,,,,,18.144,,,27.25,,,19.28,19.28,,,18,15.65,,18.14,,22.697,17.768,20.232,12,15,12,14,13.5,13,,,,,,13.25,357,,,,,,,5.5,,,,,,,,,,,,,5.5,5.5,,,,255,,,,255,,,255,0.255,255,0.255,1.4025,,,,,,,7015.1686,257,0.105,0.019,0.054,0.152,0.093,0.058,0.054,0.07,0,0.051,0.121,0.222,0.035,0.023,0.082,0.078,0.097,0.28,0.016,0.082,0.008,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Kelpie,Working Kelpie,KELP,KELP,,,,12.701,27.216,,,,,,,,,,,19.958,,,,,,,,,,,,,,,19.958,,19.958,10,15,,,12.5,,,,,,,12.5,,,,,,,,5.2,,,,,,,,,,,,,5.2,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Komondor,Komondor,KOMO,KOMO,,,,,,,,,,45.5,,,,36.5,,,,,41,45.5,36.5,,,,,,,,,,41,,41,10,12,12,,11,12,,,,,,11.333,,,,,,,,,,,,,,,,,,9,8,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuvasz,Kuvasz,KUVZ,KUVZ,,,,,,,,45.359,52.163,45.5,52.5,31.751,40.823,32,41,42.524,48.761,36.287,42.75,49,36.5,48.5,48.5,48.5,,,,,,,42.637,48.5,45.569,10,12,8,12,11,10,,,,,,10.5,,,,,,,,,,,,,,,,,,7,8,,,7.5,,,,577.5,,,,547,608,,577.5,0.578,577.5,0.578,4.3313,,,,,,,7263.5065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labrador Retriever,Labrador Retriever,LAB,LAB,89,87,123,,,,,29.483,36.287,29.5,36.5,24.948,31.751,25,32,30.617,32.885,28.35,30.75,33,28.5,29.8,29.8,,29.8,30,,28.1,28.12,35.89712522,30.684,29.164,29.924,10,12,11,13,11,12,12.6,10.5,,12.5,,12.2,,,,,,,5.57,6.9,,,,,6,5.27,6.4,,,,,,6.028,6.028,,,,450,,405.5,396.4,450,,,417.3,0.417,417.3,0.417,2.5155,13.7,14.38,14.04,52.1,52,52.05,7237.0381,4398,0.077,0.02,0.03,0.112,0.083,0.04,0.146,0.102,0.007,0.089,0.071,0.224,0.025,0.014,0.105,0.023,0.034,0.34,0.025,0.141,0.007,0.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonberger,Leonberger,LEON,LEON,,,,,,,,49.895,77.111,59,77,40.823,63.503,45,59,57.833,63.503,52.163,60,68,52,68,68,,,,,,,,58.916,68,63.458,7,7,8,9,7,8.5,,,,,8.75,8.25,,,,6.33,,,,8.4,,,,,6,,,,,,,,6.91,6.91,,,,510,,615,,510,,,562.5,0.563,562.5,0.563,3.8869,,,,,,,10181.4187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lhasa Apso,Lhasa Apso,LHSA,LHSA,110,100,84,5.443,8.165,,,,,6,8,,,6,7,6.804,,,6.75,7,6.5,,,,,6,,,7.26,8.480725624,6.768,6.63,6.699,12,15,14,15,13.5,14.5,9,,,13,,12,,,,,,,,4.9,,,,,,4.54,,,,,,,4.72,4.72,,,,,,,,,,,,,,,,,,,,,,,696,0.091,0.016,0.039,0.105,0.063,0.046,0.079,0.165,0.014,0.07,0.149,0.162,0.053,0.034,0.065,0.034,0.053,0.171,0.019,0.118,0.003,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Munsterlander Large,Munsterlander Large,LMUN,LMUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English Mastiff,Mastiff,MAST,MAST,,,,,,79,86,72.575,104.326,,,54.431,77.111,,,77.111,88.45,65.771,82.5,,,81.65,81.65,,,82,,66.9,,58.95,78.907,76.85,77.879,6,10,8,9,8,8.5,,,,7.1,,7.675,,,,,,,,6,,,,,,,,,,,,,6,6,,,,567,,,,567,164,,567,0.567,567,0.567,3.402,10.9,,10.9,65.2,,65.2,13499.7601,180,0.106,0.017,0.006,0.1,0.111,0.028,0.178,0.1,0.006,0.094,0.106,0.15,0.061,0.006,0.106,0.022,0.056,0.3,0.006,0.128,0.022,0.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bull Terrier Miniature,Bull Terrier Miniature,MBLT,MBLT,,,,8.165,12.701,11,15,,,,,,,,,10.433,,,13,,,,,,,,,,,,11.716,,11.716,11,13,12,13,12,12.5,,,,,,12.25,,,,,,,,,,,,,,,,,,5,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinscher Miniature,Pinscher Miniature,MPIN,MPIN,,,,3.629,4.536,4,4.5,,,,,,,,,4.082,,,4.25,,,,,,,,,,,,4.166,,4.166,12,16,13,14,14,13.5,,,,,,13.75,,,,,,,5.5,4.3,,,,,4,,,,,,,,4.6,4.6,,,,,,145,,,,,145,0.145,145,0.145,0.667,,,,,,,2715.3986,112,0.107,0.045,0.009,0.143,0.036,0.045,0.098,0.223,0.009,0.045,0.08,0.161,0.071,0.018,0.071,0.036,0.08,0.036,0.045,0.196,0.009,0.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poodle miniature,Caniche miniature,MPOO,MPOO,119,97,120,4.536,6.804,,,,,7,8,,,7,8,5.67,,,7.5,7.5,7.5,,,,,7,,,6.12,9.523809524,6.89,6.56,6.725,10,18,12,15,14,13.5,14.8,,,14.2,,14.25,156,3.5,,,,,,3,,,,,2,,,,,,,3.5,2.5,2.833,,,226.796,,,116.5,,,,226.796,116.5,0.117,171.648,0.172,0.4863,,,,,,,3203.2136,1730,0.117,0.013,0.063,0.111,0.059,0.041,0.072,0.139,0.012,0.093,0.095,0.185,0.024,0.051,0.051,0.039,0.082,0.185,0.013,0.108,0.006,0.441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schnauzer miniature,Schnauzer Miniature,MSNZ,MSNZ,,,,4.99,9.072,6.5,7.5,,,,,,,,,7.031,,,7,,,,,,,7,,7,,7.770219199,7.015,7,7.008,12,15,14,,13.5,14,8.5,,,,,11.083,,4,,,,,,4.7,,,,,,,,,,,,4,4.7,4.35,,,184.272,,,,,,,184.272,,,184.272,0.184,0.8016,16.9,,16.9,41.3,,41.3,3715.3846,1433,0.124,0.008,0.057,0.126,0.101,0.057,0.029,0.111,0.007,0.07,0.136,0.174,0.049,0.031,0.065,0.054,0.089,0.223,0.021,0.045,0.01,0.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affenpinscher,Affenpinscher,NA,NA,,,,3.175,4.536,3,3.5,,,,,,,,,3.856,,,3.25,,,4.88,4.88,,,,,,,,3.553,4.88,4.216,12,15,14,15,13.5,14.5,,,,,,14,,3,,,,,,4.1,,,,,,,,,,,,3,4.1,3.55,,,113.398,,,,,,,113.398,,,113.398,0.113,0.4026,,,,,,,3300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alapaha Blue Blood Bulldog,Alapaha Blue Blood Bulldog,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaskan Klee Kai Standard,Alaskan Klee Kai Standard,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine Dachsbracke,Alpenlandische Dachsbracke,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,,,,,,,,,5.8,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Bulldog,American Bulldog,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.82312925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American English Coonhound,American English Coonhound,NA,NA,,,,20.412,29.483,,,,,,,,,,,24.948,,,,,,,,,,,,,,,24.948,,24.948,11,12,,,11.5,,,,,,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Eskimo Dog Miniature,American Eskimo Dog Miniature,NA,NA,,,,11.34,15.876,4.5,9,,,,,,,,,13.608,,,6.75,,,,,,,,,,,,10.179,,10.179,13,15,11,15,14,13,,,,,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Eskimo Dog Standard,American Eskimo Dog Standard,AESK,NA,,,,5.897,6.804,8,16,,,,,,,,,6.35,,,12,,,,,,,7,,,,,9.175,7,8.088,13,15,11,15,14,13,,,,,,13.5,,,,,,,,,,,,,,,,,,5,5,,,5,,,,,,,,,,,,,,,,,,,,,,,181,0.033,0.011,0.033,0.144,0.066,0.066,0.061,0.122,0.017,0.066,0.122,0.26,0.017,0.006,0.094,0.033,0.061,0.238,0.05,0.138,0,0.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Eskimo Dog Toy,American Eskimo Dog Toy,NA,NA,,,,2.722,4.536,2.4,4.5,,,,,,,,,3.629,,,3.45,,,,,,,,,,,,3.539,,3.539,13,15,11,15,14,13,,,,,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Foxhound,American Foxhound,FOXH,NA,,,,,,30,34,29.483,31.751,,,27.216,29.483,,,29.483,30.617,28.35,32,,,,,,,,,,,,30.322,,30.322,11,13,11,14,12,12.5,,,,,,12.25,,,,,,,,,,,7.3,,,,,,,,,,7.3,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Hairless Terrier,Hairless Rat Terrier,AHRT,NA,,,,5.443,7.257,,,,,,,,,,,6.35,,,,,,,,,,,,,,,6.35,,6.35,14,16,,,15,,,,,,,15,,,,,,,,,,,,,,,,,,4,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Leopard Hound,American Leopard Hound,NA,NA,,,,20.412,31.751,,,,,,,,,,,26.082,,,,,,,,,,,,,,,26.082,,26.082,12,15,,,13.5,,,,,,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
