,ACKR,AFGH,AIRT,AKIT,AMAL,AMST,ANAT,AUCD,AUSS,AUST,BASS,BEAG,BEDT,BELS,BERD,BICH,BMAL,BMD,BORD,BORT,BORZ,BOST,BOUV,BOX,BPIC,BRIA,BRIT,BRTR,BRUS,BSJI,BULD,BULM,BULT,CAIR,CANE,CARD,CCRT,CHIH,CHIN,CHOW,CKCS,COLL,COTO,CRES,DACH,DALM,DANE,DDBX,DEER,DOBP,ECKR,ESET,ESSP,EURA,FBUL,FCR,FIEL,FINS,GLEN,GOLD,GORD,GPYR,GREY,GSD,GSHP,GSMD,GSNZ,GWHP,HUSK,ICES,IRIT,ISET,ITGY,IWOF,IWSP,JACK,KEES,KELP,KOMO,KUVZ,LAB,LEON,LHSA,MAST,MBLT,MPIN,MPOO,MSNZ,NELK,NEWF,NORF,NOWT,NSDT,OES,OTTR,PAPI,PARS,PBGV,PEMB,PHAR,POM,PTWD,PUG,PULI,PUMI,RHOD,ROTT,SALU,SAMO,SCOT,SCWT,SHAR,SHIB,SHIH,SILK,SKIP,SLOU,SPIN,SPOO,SSHP,SSNZ,STAF,STBD,SVAL,TIBM,TIBS,TIBT,TPOO,TURV,VIZS,WEIM,WFOX,WHIP,WHWT,YORK
ACKR,1,0.846050953,0.825897603,0.827236536,0.843161432,0.885120263,0.88568073,0.880888,0.885836451,0.869350326,0.856119855,0.869159669,0.832256031,0.856251665,0.852919992,0.889756333,0.893558548,0.843039918,0.880007987,0.847270365,0.862408066,0.865211747,0.87566035,0.768129051,0.81556467,0.865668473,0.8908023,0.852223721,0.869060211,0.789503591,0.828247517,0.845190008,0.797082402,0.880201386,0.895417114,0.877306695,0.870242253,0.90336044,0.842486539,0.822254729,0.847780466,0.819873113,0.857614948,0.878612062,0.898703954,0.875741687,0.875512,0.83600969,0.824267122,0.849152906,0.900130915,0.878129764,0.871500414,0.855444549,0.857173911,0.850025966,0.858736894,0.849829001,0.85097499,0.863689839,0.896113068,0.863485064,0.855246174,0.84493392,0.893585073,0.821750687,0.880756855,0.901310588,0.836716243,0.86255587,0.825228395,0.862539134,0.864066259,0.830477597,0.871393827,0.902057462,0.865040727,0.859326081,0.87797823,0.88644695,0.888680124,0.853016191,0.88411114,0.850553865,0.810633327,0.87211896,0.892664971,0.828437217,0.883372943,0.869986521,0.829707611,0.837060357,0.871211496,0.869109895,0.841839835,0.887826185,0.899658755,0.875781646,0.862547866,0.853085868,0.887843101,0.873251383,0.825909519,0.887980532,0.881196307,0.870512529,0.850699297,0.890238965,0.854558057,0.849272149,0.84703493,0.848805983,0.838767229,0.853072525,0.898236969,0.875797128,0.901083772,0.879882528,0.870853568,0.839336449,0.873672699,0.855387229,0.853966045,0.845056533,0.876123842,0.861673369,0.870467892,0.898374229,0.868810068,0.879784342,0.849123385,0.838874631,0.851085061,0.852434349,0.888474049
AFGH,0.846050953,1,0.822548469,0.851054303,0.863002319,0.8810284,0.917512743,0.879899476,0.881952428,0.866468035,0.852595362,0.863141772,0.827355239,0.854817416,0.84877289,0.887637085,0.89097534,0.841183388,0.878783572,0.837951051,0.872818371,0.85881296,0.870837008,0.765269419,0.813432445,0.864780439,0.880069636,0.853751531,0.862975772,0.831171186,0.821628559,0.840092937,0.792287729,0.876273773,0.894651541,0.873578022,0.861892312,0.904165721,0.844782,0.85473735,0.829525431,0.818003595,0.857092559,0.875884563,0.893338688,0.86845808,0.873777097,0.835594757,0.823330207,0.848033359,0.862515801,0.866580629,0.851808403,0.87250664,0.852657381,0.841610398,0.830780689,0.863963497,0.848580913,0.8569484,0.885694647,0.865564998,0.854972684,0.842987893,0.886229685,0.817408865,0.875976004,0.897598142,0.864485967,0.866988,0.821370638,0.850782789,0.863647412,0.830909562,0.860849904,0.896514567,0.86273611,0.858555645,0.884788622,0.89232527,0.882583377,0.853319089,0.893639494,0.846776536,0.806132017,0.864382507,0.888887292,0.825560794,0.889771799,0.867711737,0.823853686,0.834044094,0.861502505,0.865379201,0.84006128,0.883688811,0.893485424,0.869668969,0.855886589,0.85236678,0.889272258,0.866755901,0.825049954,0.889661704,0.88354602,0.871323794,0.846399781,0.934260439,0.870140958,0.844605526,0.843107253,0.875606589,0.862763113,0.859132597,0.894787784,0.873303666,0.920246888,0.876347848,0.867523061,0.837797714,0.872269922,0.848577166,0.853805079,0.845701749,0.916324592,0.877968729,0.875178244,0.891491749,0.866342388,0.873681462,0.845959289,0.832413395,0.85109489,0.84598919,0.881291487
AIRT,0.825897603,0.822548469,1,0.802552709,0.818586493,0.8696533,0.857800797,0.854233589,0.856769438,0.845270799,0.827124566,0.841092743,0.811188152,0.830091812,0.829945347,0.857763678,0.863740179,0.816966593,0.85315793,0.824710312,0.84026189,0.846483973,0.84914133,0.75852869,0.794203531,0.838535481,0.856564275,0.839017848,0.837573872,0.76964825,0.819232513,0.826313472,0.792205441,0.853353841,0.871269733,0.851614285,0.839952457,0.872625283,0.812872598,0.798827989,0.808503138,0.802080624,0.830329877,0.852496384,0.865574201,0.846539917,0.84947298,0.823214909,0.80937323,0.826420083,0.842285843,0.845335163,0.830580181,0.826212058,0.83950552,0.821162439,0.814030859,0.829046754,0.837057554,0.83707462,0.862097306,0.838045484,0.838966939,0.819460086,0.86032441,0.800286581,0.858697567,0.868401566,0.812335964,0.835143924,0.807513594,0.827388229,0.838766625,0.816378635,0.838273652,0.875892261,0.835977849,0.83246235,0.851690607,0.857599249,0.861567265,0.830195468,0.852145897,0.831496303,0.803837519,0.844016848,0.861733526,0.805444207,0.857908937,0.845980222,0.813157266,0.816183837,0.839780763,0.843079693,0.817211697,0.856688081,0.873574398,0.843925181,0.837124663,0.827964045,0.862175152,0.842446691,0.801798401,0.860707875,0.852111884,0.847785739,0.825007957,0.86076782,0.828402484,0.828207492,0.827074289,0.824392858,0.813453336,0.82572936,0.871425826,0.847777558,0.870483395,0.848672422,0.837396033,0.817017931,0.846769903,0.838952338,0.831223206,0.8191474,0.847741606,0.832916922,0.840958841,0.86373528,0.841600104,0.847046629,0.825455198,0.820681897,0.832185005,0.828557226,0.864429507
AKIT,0.827236536,0.851054303,0.802552709,1,0.882247853,0.861522589,0.883251822,0.859807701,0.861958234,0.847284725,0.828921641,0.84166114,0.807379737,0.834711534,0.829529682,0.866416297,0.871431283,0.822222387,0.857887331,0.820750814,0.847272118,0.839424648,0.849056118,0.75040585,0.792358217,0.841388598,0.856672855,0.831977649,0.842839579,0.801074191,0.806133636,0.823138031,0.77479311,0.856148258,0.874434633,0.851877045,0.843828533,0.883585565,0.845939084,0.900180566,0.808047328,0.799363198,0.83744415,0.857896486,0.868573459,0.848008701,0.851729085,0.815609094,0.803160134,0.827224242,0.844244699,0.844396728,0.829444721,0.885944368,0.832609398,0.821895888,0.811489885,0.848009496,0.82964904,0.836090352,0.862414087,0.84224923,0.834054139,0.824499177,0.86324268,0.799011968,0.854038322,0.873680774,0.881288509,0.851485136,0.802276647,0.829109583,0.840131535,0.807348337,0.837975576,0.875137666,0.844943259,0.84055807,0.86245225,0.867888602,0.861145359,0.832131401,0.887568693,0.827438321,0.789942005,0.844135499,0.865403746,0.806659431,0.871218148,0.84845602,0.803569921,0.816739516,0.841416728,0.843817378,0.818100076,0.863319397,0.871390143,0.847483219,0.83917506,0.827710907,0.869685204,0.846954191,0.808962439,0.86786484,0.858875915,0.849704572,0.825607662,0.890394546,0.861295492,0.825322333,0.82098824,0.911059869,0.905243361,0.85195485,0.873124199,0.854136118,0.888691577,0.852915123,0.845849195,0.817461402,0.852708474,0.832181213,0.831797892,0.827774615,0.918877309,0.872022137,0.862633717,0.872012987,0.846173259,0.84993551,0.822037746,0.815412086,0.827481412,0.827367352,0.861089312
AMAL,0.843161432,0.863002319,0.818586493,0.882247853,1,0.882457602,0.901837264,0.878157563,0.883414578,0.864342675,0.847432873,0.860085488,0.824406998,0.854069712,0.849056092,0.885529629,0.89057456,0.83994185,0.876415966,0.838864791,0.865010988,0.859036446,0.869295173,0.764649804,0.810020869,0.860326193,0.878329905,0.849391114,0.858259523,0.81017271,0.823187208,0.841495205,0.790727895,0.875534762,0.893384303,0.871673628,0.86157647,0.905137714,0.850023368,0.88456686,0.82494207,0.815916631,0.855495352,0.875148645,0.888344433,0.867141478,0.870204381,0.832103796,0.821227167,0.843215983,0.861652281,0.863009754,0.847105608,0.888567717,0.851716755,0.840053599,0.828893682,0.865865391,0.84862131,0.856391211,0.88007329,0.861242435,0.853252864,0.843842807,0.88201324,0.816606441,0.872801809,0.891518338,0.923786843,0.86982614,0.818587589,0.84773765,0.859141836,0.826556732,0.858613628,0.895228942,0.862079123,0.857976188,0.878712332,0.887616834,0.882327195,0.851524813,0.898053994,0.847454603,0.805893981,0.861640062,0.885786967,0.823092186,0.887575664,0.871051342,0.822473456,0.833368762,0.86017352,0.864236758,0.836067703,0.88292368,0.892246704,0.867676092,0.85571425,0.843537132,0.886515989,0.863973365,0.821943056,0.884916752,0.878821869,0.867271665,0.843993905,0.905379482,0.880941157,0.844839284,0.839495522,0.902747445,0.890181619,0.862234583,0.89259367,0.872073806,0.905991838,0.870724461,0.863731778,0.834730004,0.871079832,0.850441144,0.850772878,0.848037329,0.922823255,0.88064088,0.876725326,0.890484993,0.866326889,0.867840824,0.84182612,0.831505951,0.845405352,0.847101379,0.881273152
AMST,0.885120263,0.8810284,0.8696533,0.861522589,0.882457602,1,0.926420988,0.928215657,0.928476548,0.910377399,0.886270783,0.901829337,0.870496552,0.896409859,0.894691807,0.927800706,0.939888514,0.883826904,0.922060001,0.888711063,0.903711129,0.942790249,0.921077589,0.84265087,0.848760501,0.903679598,0.919932622,0.89522034,0.900713835,0.819443648,0.912977525,0.907135202,0.874901375,0.924396265,0.957713371,0.920865118,0.90973757,0.945615133,0.86926346,0.857563272,0.865221079,0.85578759,0.893128331,0.917766602,0.930346491,0.912400249,0.926797165,0.900919648,0.867525572,0.884704919,0.903296305,0.906300018,0.887959279,0.894567496,0.934887962,0.884500417,0.866432556,0.887009592,0.914827863,0.902212984,0.924761007,0.896270564,0.905200742,0.878788076,0.925712462,0.85828219,0.920877081,0.938635642,0.874593112,0.901973817,0.863137965,0.885866148,0.905289159,0.874464035,0.902059442,0.955063417,0.900910882,0.901440058,0.919949565,0.929870686,0.93473876,0.898037128,0.918584594,0.907666635,0.889663476,0.905231045,0.926625113,0.859852155,0.924803271,0.917242519,0.866036672,0.878632755,0.906555722,0.912471906,0.873157483,0.927261027,0.951760922,0.907078566,0.90185933,0.884340679,0.928826081,0.905680205,0.856706544,0.928232151,0.921168225,0.919544421,0.890441775,0.930115306,0.893797777,0.888648516,0.898834506,0.891150239,0.876318763,0.883051727,0.9446452,0.91174169,0.941340404,0.912566308,0.899690572,0.875744746,0.915924349,0.937899888,0.898385178,0.879986791,0.91710745,0.894076056,0.907129998,0.9334827,0.909078247,0.912433425,0.881879636,0.879155408,0.898626529,0.889609127,0.931740364
ANAT,0.88568073,0.917512743,0.857800797,0.883251822,0.901837264,0.926420988,1,0.924838507,0.928537927,0.909111085,0.89138673,0.904529128,0.864212846,0.896729591,0.89115356,0.935506908,0.939168314,0.879817213,0.92330094,0.877498518,0.912391144,0.902279425,0.915804303,0.799744448,0.846051555,0.905740568,0.926392406,0.89108703,0.904073168,0.859705464,0.859455316,0.88082787,0.823650069,0.920665654,0.94341913,0.917379565,0.905471794,0.955840845,0.882365824,0.886124128,0.866682188,0.853455526,0.901479967,0.921200321,0.939362174,0.913391525,0.918343487,0.873216283,0.858607306,0.885983054,0.905686823,0.911075201,0.891260433,0.913018457,0.893575302,0.879755022,0.869418026,0.902073567,0.889924099,0.898912534,0.931656828,0.907067096,0.895725703,0.881928125,0.933515823,0.853169834,0.919739567,0.944346758,0.898944996,0.909189324,0.852920063,0.890945083,0.903352359,0.866794838,0.904845306,0.946815021,0.905375795,0.902750246,0.929443317,0.939989344,0.928236764,0.893649562,0.937873334,0.887526008,0.840439479,0.906838618,0.932591366,0.863284949,0.933464487,0.910826532,0.859256404,0.872234568,0.903682686,0.906235914,0.87818848,0.929501975,0.940254405,0.914581036,0.898784099,0.891577424,0.934706186,0.911929079,0.861042379,0.933589245,0.928425277,0.914008914,0.886621226,0.970217824,0.909409218,0.884833526,0.881998279,0.913539673,0.896957976,0.898229541,0.940642325,0.918771314,0.963251748,0.920116268,0.91218198,0.874316487,0.917040842,0.892380222,0.894334717,0.886701893,0.955208895,0.916594641,0.919366889,0.941470965,0.911183318,0.917759982,0.881846071,0.86891521,0.887970944,0.887332592,0.928447625
AUCD,0.880888,0.879899476,0.854233589,0.859807701,0.878157563,0.928215657,0.924838507,1,0.923847135,0.902854639,0.884969105,0.897733693,0.861664184,0.89131625,0.890796165,0.923178651,0.934016977,0.873941099,0.922325351,0.875495179,0.898940439,0.904624586,0.909857534,0.802508536,0.842932471,0.898965042,0.917795469,0.886391429,0.894862449,0.815789148,0.865222909,0.882006608,0.827727938,0.916175895,0.935947612,0.914472974,0.901049008,0.941003197,0.86846652,0.856389076,0.860904688,0.855946201,0.888839804,0.912488157,0.928773363,0.906664085,0.91107917,0.872517264,0.860225113,0.881617671,0.90101989,0.903837608,0.886450029,0.891498626,0.897468081,0.878236948,0.863023491,0.885723947,0.889044628,0.894970069,0.921765187,0.89477638,0.896894555,0.876667185,0.923033839,0.851372256,0.913640877,0.934519087,0.872069258,0.899302985,0.852146712,0.882885559,0.898802133,0.864855334,0.897407972,0.939833741,0.897871687,0.9064895,0.916712398,0.924870885,0.922770622,0.887587834,0.917693466,0.885560865,0.843421194,0.901432025,0.92409154,0.8577364,0.921781121,0.906138416,0.857727638,0.867652669,0.900985352,0.905074708,0.871284134,0.921913352,0.935703029,0.905123854,0.897565552,0.87942482,0.926192704,0.90134886,0.855739406,0.92428013,0.916510108,0.904659793,0.882952077,0.927918193,0.890632104,0.880017983,0.879125481,0.886600483,0.872880166,0.882020019,0.935728704,0.910616984,0.939518905,0.910111604,0.901549091,0.873896335,0.90833859,0.895129968,0.889216251,0.878038103,0.91664625,0.894920065,0.903131082,0.930353405,0.904193117,0.907552643,0.875853435,0.867805505,0.888705144,0.884849455,0.921652533
AUSS,0.885836451,0.881952428,0.856769438,0.861958234,0.883414578,0.928476548,0.928537927,0.923847135,1,0.904088132,0.888025965,0.900635267,0.864416368,0.89238673,0.895243692,0.925762011,0.9356723,0.875232811,0.928758248,0.876744372,0.901012515,0.905019603,0.914668679,0.801067522,0.846426362,0.90327412,0.921947103,0.889251777,0.899305871,0.817130076,0.864539998,0.882205837,0.829046482,0.918701283,0.939027618,0.921508088,0.902345796,0.943475877,0.87174446,0.859991475,0.863396488,0.877226426,0.892770134,0.913881889,0.931369227,0.908189379,0.911677698,0.871948202,0.860438232,0.881338423,0.901048432,0.907361856,0.886990145,0.893398329,0.893772927,0.8791971,0.866727962,0.88798237,0.891064306,0.896399918,0.926283909,0.897147913,0.898414488,0.882157742,0.925800571,0.850500353,0.915824902,0.935454648,0.87682791,0.900986881,0.854217592,0.886802731,0.90035102,0.865921448,0.900359224,0.943082065,0.900746853,0.905910865,0.918787569,0.926827148,0.926502785,0.888382877,0.919327928,0.887289749,0.844647481,0.902826206,0.925920902,0.858962409,0.923276116,0.906997782,0.858288191,0.871321104,0.903100327,0.908702001,0.875223517,0.924308335,0.938018057,0.907411439,0.904109198,0.881412601,0.927997923,0.904980092,0.856363452,0.925494715,0.919434176,0.908447354,0.883594447,0.930069157,0.894040144,0.882032785,0.880216408,0.889527836,0.876193318,0.884091933,0.93716732,0.913003419,0.940140899,0.913991587,0.903520954,0.887008653,0.910445182,0.894084848,0.891882796,0.882366724,0.919530839,0.897499768,0.90376221,0.931764575,0.907970708,0.910704445,0.878784292,0.870183702,0.889559318,0.886607014,0.923735831
AUST,0.869350326,0.866468035,0.845270799,0.847284725,0.864342675,0.910377399,0.909111085,0.902854639,0.904088132,1,0.873446959,0.887158323,0.852043156,0.876362479,0.875051904,0.912229266,0.915626565,0.859765658,0.899819871,0.86800366,0.883241382,0.888933173,0.893547221,0.790222773,0.83005576,0.884470896,0.904906222,0.873856167,0.885488557,0.805280065,0.849912184,0.866214107,0.819010448,0.904303506,0.919188834,0.897731667,0.886661551,0.92732164,0.857966011,0.842823984,0.852824325,0.838153638,0.87809535,0.899320272,0.915303039,0.893421788,0.895254021,0.857247775,0.84519476,0.866760924,0.887711855,0.889287677,0.874466863,0.876905494,0.880108039,0.864243773,0.853269082,0.87328566,0.875892534,0.879143463,0.910417529,0.880483304,0.879941746,0.861377552,0.909592238,0.838641061,0.899890732,0.920992064,0.858369197,0.884695297,0.845574413,0.871735534,0.882150607,0.849228028,0.885184891,0.928269897,0.885977439,0.882428186,0.899757326,0.909169389,0.906657638,0.873514266,0.903166022,0.873759202,0.834327096,0.88881393,0.909934958,0.84614085,0.905013322,0.892242842,0.849800471,0.861928753,0.884211315,0.889457156,0.859389609,0.907566673,0.924844428,0.891930114,0.880072684,0.867427579,0.911443767,0.889394714,0.844528439,0.909811568,0.90304685,0.889569241,0.867731452,0.91265955,0.875711724,0.869573497,0.867466148,0.872558945,0.860139726,0.869465882,0.947882609,0.897182324,0.923394853,0.894933284,0.888697108,0.856631797,0.896223575,0.880469948,0.872559887,0.864351426,0.900595368,0.881917641,0.890163009,0.917131175,0.88985352,0.895667999,0.862087413,0.859905324,0.875725713,0.873246174,0.920791238
BASS,0.856119855,0.852595362,0.827124566,0.828921641,0.847432873,0.886270783,0.89138673,0.884969105,0.888025965,0.873446959,1,0.883243379,0.835840873,0.860864785,0.85706394,0.891002665,0.896033881,0.846524876,0.883505321,0.848133341,0.866609041,0.867449748,0.87807306,0.772312112,0.819006165,0.869799372,0.891174657,0.854623083,0.866815067,0.792396291,0.828305254,0.846962552,0.797500225,0.882950607,0.900876116,0.880600277,0.870543185,0.907729547,0.840238394,0.826254345,0.841688604,0.825621142,0.857856808,0.883330983,0.901883512,0.876795481,0.879345054,0.841544055,0.832266097,0.854962603,0.874068154,0.876365723,0.861291378,0.858520129,0.860517873,0.849159764,0.841484473,0.855799497,0.855311082,0.862781579,0.894722168,0.867005443,0.86253599,0.847012599,0.894697096,0.822698803,0.882164716,0.906115485,0.842454558,0.863638802,0.827808466,0.860961249,0.866348443,0.838526809,0.869891384,0.905008001,0.865406743,0.863691732,0.883878217,0.891284447,0.892239811,0.85696602,0.884479434,0.854549906,0.812072254,0.870353653,0.895184559,0.831225367,0.888493221,0.87563132,0.830883831,0.838889075,0.867662607,0.871096203,0.86019694,0.888696435,0.899624496,0.886102207,0.86506123,0.854580377,0.891768029,0.873736304,0.829330888,0.890361434,0.882345776,0.87554367,0.854447193,0.895507487,0.85954408,0.849693594,0.850124868,0.851533836,0.843516656,0.855582569,0.902817151,0.877888704,0.905560322,0.883933575,0.872752863,0.842121417,0.87603385,0.85663138,0.86224109,0.850932815,0.880873382,0.863598358,0.870619508,0.89832186,0.87274156,0.88000723,0.852950296,0.841686058,0.857576818,0.854261273,0.891075575
BEAG,0.869159669,0.863141772,0.841092743,0.84166114,0.860085488,0.901829337,0.904529128,0.897733693,0.900635267,0.887158323,0.883243379,1,0.849659284,0.873129906,0.869410734,0.906022661,0.910008819,0.857385798,0.899282521,0.85972816,0.880274911,0.87994216,0.890420223,0.780182222,0.827659809,0.880740755,0.903876423,0.867798445,0.877984874,0.800989108,0.840682939,0.858447104,0.808319453,0.898523883,0.913633702,0.893701407,0.883499127,0.922595658,0.854600693,0.839295557,0.8530713,0.83558229,0.873157793,0.89637249,0.915690951,0.888119271,0.891444384,0.851476646,0.841270116,0.864562227,0.888461736,0.889337623,0.874215125,0.871821199,0.872245346,0.861301699,0.854489274,0.869690148,0.868143201,0.876209184,0.907583655,0.878566809,0.87282883,0.858124872,0.909215893,0.833431132,0.894899709,0.918765951,0.853960811,0.876635896,0.8370978,0.87116175,0.878681623,0.847705843,0.883026338,0.919038879,0.87793849,0.877211848,0.896236198,0.904252064,0.904729772,0.870196893,0.898393481,0.866913377,0.822495729,0.884309943,0.906994258,0.842296124,0.902296855,0.888550797,0.843854468,0.852188885,0.882199208,0.8824996,0.885596627,0.903243702,0.914690981,0.899904361,0.87786243,0.864047558,0.905031045,0.887343322,0.840632398,0.904688845,0.896956144,0.886983442,0.8638738,0.908717137,0.870434043,0.864886964,0.860622958,0.865569875,0.855111111,0.865912825,0.917206787,0.890899059,0.919270303,0.896862864,0.88570827,0.852131581,0.889948995,0.869012018,0.871270091,0.859653983,0.894155709,0.877703058,0.886562074,0.914414524,0.885086216,0.894777542,0.861448141,0.852681492,0.86761746,0.867547732,0.904048732
BEDT,0.832256031,0.827355239,0.811188152,0.807379737,0.824406998,0.870496552,0.864212846,0.861664184,0.864416368,0.852043156,0.835840873,0.849659284,1,0.836550694,0.838119921,0.868253128,0.873292112,0.824800471,0.861077681,0.84064179,0.844504103,0.851416417,0.856188271,0.755360358,0.798863,0.848621454,0.864081025,0.835154619,0.844944898,0.77130337,0.81503583,0.831239572,0.788654355,0.862106395,0.877061194,0.856585449,0.846316187,0.880032278,0.819855525,0.80252365,0.817501826,0.806616952,0.837474064,0.858387008,0.874071584,0.852069725,0.856855347,0.823562016,0.814707755,0.830743426,0.850755358,0.849682192,0.839745947,0.831923563,0.842300988,0.829275158,0.822607376,0.829632282,0.840005837,0.843533316,0.867733201,0.84310094,0.84589954,0.823893203,0.867435782,0.80376574,0.860432019,0.879358291,0.81795432,0.843557541,0.81455217,0.834399106,0.846186553,0.816354276,0.849612568,0.883775453,0.844121976,0.842535797,0.858885973,0.863972624,0.868217005,0.83494349,0.859140216,0.83789255,0.802102671,0.847471917,0.87079437,0.811542442,0.862996853,0.85341986,0.814558031,0.824929062,0.844414289,0.848935395,0.827010232,0.866499498,0.881573421,0.854616376,0.841315291,0.830181397,0.86648093,0.849977635,0.806881178,0.866686495,0.862175412,0.853279283,0.832360657,0.868106807,0.832463403,0.832167013,0.833309636,0.82847177,0.819362494,0.830219554,0.880677326,0.854780584,0.880439404,0.855974865,0.847628466,0.823151522,0.855623268,0.843277228,0.836659466,0.825234627,0.854156223,0.839728951,0.849299965,0.873312981,0.849740968,0.856112117,0.826627353,0.822257853,0.837290366,0.833913886,0.869013764
BELS,0.856251665,0.854817416,0.830091812,0.834711534,0.854069712,0.896409859,0.896729591,0.89131625,0.89238673,0.876362479,0.860864785,0.873129906,0.836550694,1,0.863370407,0.895781327,0.932518754,0.851236206,0.888614894,0.849525999,0.874034586,0.874092779,0.890153989,0.77724891,0.826174326,0.878439533,0.892801346,0.861292198,0.870475184,0.797238765,0.836696327,0.854472222,0.805717367,0.888832001,0.905876909,0.885570906,0.875586456,0.913154931,0.846552997,0.832386614,0.839277578,0.829719611,0.865104026,0.885775962,0.901211909,0.879051269,0.885162802,0.846831745,0.836905387,0.856416385,0.876573352,0.878681514,0.861046685,0.864857268,0.868040692,0.852354471,0.840249698,0.862031467,0.861750309,0.86899779,0.896121426,0.870908315,0.870629468,0.856431197,0.896530945,0.830567061,0.888304474,0.907805311,0.847480998,0.872330617,0.829673634,0.859221279,0.872123709,0.84272806,0.872111064,0.908489292,0.874074636,0.871129579,0.887658072,0.89699979,0.896471025,0.864296987,0.891097136,0.860184031,0.821675063,0.875395952,0.898022113,0.834141049,0.894050809,0.881649755,0.834454267,0.844097406,0.871875558,0.878326926,0.847348052,0.896614756,0.903961773,0.878966903,0.870691186,0.858110231,0.896821156,0.878125815,0.832966262,0.897200515,0.88944785,0.878674851,0.85836488,0.899815441,0.864077319,0.855860703,0.855831742,0.858721937,0.847690527,0.858050729,0.906778365,0.885802761,0.912487626,0.885904795,0.875338539,0.848684329,0.881412897,0.863920083,0.864190004,0.853931227,0.888201098,0.869251633,0.876022797,0.902409403,0.973787525,0.883552068,0.85116578,0.843959149,0.865873308,0.85790847,0.892833501
BERD,0.852919992,0.84877289,0.829945347,0.829529682,0.849056092,0.894691807,0.89115356,0.890796165,0.895243692,0.875051904,0.85706394,0.869410734,0.838119921,0.863370407,1,0.889894537,0.901725945,0.848925209,0.910398128,0.84989763,0.869377449,0.870331483,0.879901541,0.775545477,0.816745771,0.869965197,0.887225231,0.85595168,0.866682295,0.79117912,0.837300738,0.85268721,0.80359304,0.886224998,0.900968812,0.889373702,0.872232912,0.907547443,0.839420524,0.826603878,0.836097011,0.840518954,0.863783338,0.881332684,0.895689948,0.87632991,0.88279676,0.841432172,0.835503943,0.852792593,0.873279275,0.872686281,0.858521357,0.859373401,0.863144268,0.849986764,0.837983001,0.856315468,0.8614261,0.865875734,0.88968032,0.86504721,0.867937108,0.848266681,0.892482824,0.826340887,0.882584528,0.904042639,0.844386148,0.870607801,0.826687693,0.856609487,0.868079098,0.839498866,0.867846204,0.905010451,0.868791118,0.878881726,0.888273939,0.891915695,0.893291566,0.859593252,0.886393893,0.856015912,0.818013691,0.870378254,0.894849396,0.833535571,0.890218539,0.878771999,0.831929056,0.842468367,0.873095247,0.880190562,0.846713673,0.890787374,0.90162584,0.876115791,0.87393129,0.850850895,0.894211811,0.872086116,0.829409415,0.894283305,0.884362253,0.87708704,0.853306235,0.895319835,0.861913702,0.852361773,0.851778328,0.855143776,0.84157882,0.851975455,0.904677852,0.879493945,0.906185116,0.881319085,0.871573293,0.856290173,0.878605653,0.861611111,0.858071697,0.84831507,0.882671917,0.864278554,0.872720373,0.899039636,0.875180425,0.876789663,0.851287863,0.842686924,0.861175624,0.856495181,0.891655042
BICH,0.889756333,0.887637085,0.857763678,0.866416297,0.885529629,0.927800706,0.935506908,0.923178651,0.925762011,0.912229266,0.891002665,0.906022661,0.868253128,0.895781327,0.889894537,1,0.937713147,0.879369686,0.922976846,0.881649464,0.90394954,0.905573076,0.91512799,0.801327511,0.845962285,0.905543212,0.927207933,0.892875952,0.90767857,0.823646447,0.862734881,0.881749327,0.82590016,0.922575343,0.941675315,0.917811867,0.908191053,0.954926653,0.879223079,0.862257321,0.871521081,0.852501483,0.898814139,0.92222609,0.938786895,0.913180609,0.91419621,0.874916199,0.859971249,0.885357632,0.909202433,0.912013051,0.893944744,0.898825846,0.896825982,0.882008349,0.873828449,0.891435956,0.891326192,0.898563579,0.933554562,0.904188505,0.895741994,0.878558398,0.932574682,0.85232371,0.919980781,0.944080595,0.878591625,0.905915079,0.856159655,0.893201208,0.902867012,0.866183961,0.904192203,0.947182406,0.907454155,0.901984231,0.924815531,0.931950597,0.929434212,0.891418424,0.93157756,0.889606767,0.84226918,0.909297329,0.938377194,0.863004621,0.927850253,0.911709027,0.863938575,0.874337147,0.904307048,0.907503831,0.877151197,0.934262124,0.94281491,0.914772243,0.899416789,0.886298314,0.934876847,0.911980514,0.864477301,0.932300462,0.927627772,0.909923899,0.887088648,0.93668822,0.897134572,0.886120686,0.881384471,0.892286297,0.879215311,0.892853641,0.944884711,0.91772948,0.947441084,0.918895403,0.913141746,0.875081077,0.91711441,0.894836488,0.892408676,0.884115694,0.924351879,0.904332727,0.912213269,0.94686712,0.910334117,0.918616144,0.884921671,0.872767573,0.8890947,0.890405266,0.930921573
