abrevParker2017,abrevGaramszegi2019,breed,synonym,w1AKC,w2AKC,w1Bell,w2Bell,w1malesAKC,w2malesAKC,w1malesBell,w2malesBell,w1femalesAKC,w2femalesAKC,w1femalesBell,w2femalesBell,wAKC,wAKCmales,wAKCfemales,wBell2012,wBellmales,wBellfemales,wFan2016,wFan2016males,wFan2016females,wSpeakman2003,wKraus2013,wGerstner2010,wHawthorne2004,wCareau2010,weightcompendia,weightpapers,weight,l1AKC,l2AKC,l1Bell,l2Bell,lAKC,lBell,lLeroy2015b,lONeill2013,lMichell1999,lcompendia,lpapers,lifespan,lsClark2017,lsBell2012,lsLeroy2015,lsOkkens1993,lsSchrack2017,lsGroppetti2015,lsBorge2011,lsNielen2000,lsOgrak2009,lsWildt1982,lsYilmaz2007,lsGroppetti2017,lsMila2015,lsThomassen2006,lsGoleman2015,lsGubbels2008,lswebsite1,lswebsite2,lscompendia,lspapers,littersize,malesperlitterGubbels2008,femalesperlitterGubbels2008,bwClark2017,bwFan2016,bwYlmaz2007,bwGroppetti2017,bwGroppetti2015,bwFan2016males,bwFan2016females,bwcompendia,bwpapers,bwpaperskg,bw,bwkg,bwkgxls,grHawthorne2004,grPosadas2014,expgr,T99Hawthorne2004,T99Posadas2014,T99,growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASS,BASS,Basset Hound,Basset Hound,18.144 ,29.483 ,18.000 ,27.000 ,,,,,,,,,23.814 ,,,22.500 ,,,10.890 ,10.890 ,,,26.000 ,,,19.280 ,23.157 ,18.723 ,20.940 ,12.000 ,13.000 ,12.000 ,,12.500 ,12.000 ,10.300 ,,12.800 ,12.333 ,11.550 ,11.811 ,,,5.140 ,,,,6.700 ,,,,,7.000 ,,,,,,,,6.280 ,6.280 ,,,,450.000 ,,448.000 ,,450.000 ,,,449.000 ,0.449 ,449.000 ,0.449 ,2.8197,,12.300 ,12.300 ,,52.000 ,52.000 ,5203.6927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAG,BEAG,Beagle,Beagle,9.072 ,13.608 ,5.500 ,13.500 ,,,,,,,,,11.340 ,,,9.500 ,,,,,,,10.000 ,9.412 ,17.400 ,9.070 ,10.420 ,11.471 ,10.945 ,10.000 ,15.000 ,13.000 ,15.000 ,12.500 ,14.000 ,,,16.000 ,13.250 ,16.000 ,14.625 ,,,,,,7.000 ,5.500 ,,,,,7.500 ,,,,4.950 ,,,,6.238 ,6.238 ,2.630 ,2.320 ,,,,303.500 ,,,,,303.500 ,0.304 ,303.500 ,0.304 ,1.8931,17.000 ,9.120 ,13.060 ,41.900 ,58.000 ,49.950 ,3636.3427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDT,BEDT,Bedlington Terrier,Bedlington Terrier,7.711 ,10.433 ,,,,,9.000 ,10.500 ,,,7.500 ,9.000 ,9.072 ,,,9.000 ,9.750 ,8.250 ,,,,,,,,,9.024 ,,9.024 ,11.000 ,16.000 ,12.000 ,14.000 ,13.500 ,13.000 ,,,14.300 ,13.250 ,14.300 ,13.775 ,5.000 ,,,,,,3.600 ,,,,,,,,,,,,5.000 ,3.600 ,4.300 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELS,BELS,Belgian Shepherd,Chien de Berger Belge,,,27.500 ,28.500 ,24.948 ,34.019 ,,,20.412 ,27.216 ,,,26.649 ,29.483 ,23.814 ,28.000 ,,,,,,,,,,,27.099 ,,27.099 ,12.000 ,14.000 ,12.000 ,14.000 ,13.000 ,13.000 ,,,,13.000 ,,13.000 ,9.500 ,,,,,,,,,,,,,,,,,,9.500 ,,9.500 ,,,453.592 ,,,425.000 ,,,,453.592 ,425.000 ,0.425 ,439.296 ,0.439 ,4.1733,,,,,,,5966.1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERD,BERD,Bearded Collie,Bearded Collie,20.412 ,24.948 ,,,,,18.000 ,27.000 ,,,18.000 ,27.000 ,22.680 ,,,22.500 ,22.500 ,22.500 ,22.500 ,22.500 ,,,,,,,22.560 ,22.500 ,22.530 ,12.000 ,14.000 ,12.000 ,14.000 ,13.000 ,13.000 ,,13.700 ,12.300 ,13.000 ,13.000 ,13.000 ,8.000 ,,,,,,5.400 ,,,,,6.000 ,,,,,,,8.000 ,5.700 ,6.467 ,,,255.146 ,298.000 ,,395.000 ,,298.000 ,,255.146 ,346.500 ,0.347 ,316.049 ,0.316 ,2.0438,,,,,,,7075.9872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BICH,BICH,Bichon Frise,Bichon a Poil Frise,5.443 ,8.165 ,3.000 ,6.000 ,,,,,,,,,6.804 ,,,4.500 ,,,,,,,5.000 ,,,8.160 ,5.652 ,6.580 ,6.116 ,14.000 ,15.000 ,14.000 ,16.000 ,14.500 ,15.000 ,,12.700 ,,14.750 ,12.700 ,13.725 ,,,,,,,4.600 ,,,,,,3.750 ,,,,,,,4.175 ,4.175 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMAL,BMAL,Belgian Shepherd (Malinois),Chien de Berger Belge (Malinois),,,28.000 ,34.000 ,27.216 ,36.287 ,,,18.144 ,27.216 ,,,27.216 ,31.751 ,22.680 ,31.000 ,,,,,,,,,,,28.477 ,,28.477 ,14.000 ,16.000 ,12.000 ,14.000 ,15.000 ,13.000 ,,,,14.000 ,,14.000 ,9.500 ,,,,,,7.100 ,,,,,7.000 ,,,,,,,9.500 ,7.050 ,7.867 ,,,453.592 ,,,,,,,453.592 ,,,453.592 ,0.454 ,3.5683,,,,,,,5900.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMD,BMD,Bernese Mountain Dog,Berner Sennenhund,,,,,36.287 ,52.163 ,36.000 ,52.000 ,31.751 ,43.091 ,34.000 ,43.000 ,40.823 ,44.225 ,37.421 ,41.250 ,44.000 ,38.500 ,44.000 ,44.000 ,,,45.000 ,40.940 ,,,41.037 ,43.313 ,42.175 ,7.000 ,10.000 ,7.000 ,9.000 ,8.500 ,8.000 ,8.150 ,,7.000 ,8.250 ,7.575 ,7.800 ,,,5.510 ,8.200 ,,5.500 ,6.400 ,7.290 ,,,,6.000 ,,,,,,,,6.483 ,6.483 ,,,,520.000 ,,541.000 ,558.000 ,520.000 ,,,539.667 ,0.540 ,539.667 ,0.540 ,3.4988,,,,,,,7464.5361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BORD,BORD,Border Collie,Border Collie,13.608 ,24.948 ,,,,,13.500 ,20.500 ,,,12.000 ,19.000 ,19.278 ,,,16.250 ,17.000 ,15.500 ,15.500 ,,15.500 ,,17.000 ,,,,17.259 ,16.250 ,16.755 ,12.000 ,15.000 ,12.000 ,15.000 ,13.500 ,13.500 ,,13.500 ,13.000 ,13.500 ,13.250 ,13.333 ,6.500 ,,,,,7.500 ,6.000 ,,,,,7.000 ,,,,,,,6.500 ,6.833 ,6.750 ,,,453.592 ,362.000 ,,350.000 ,,,362.000 ,453.592 ,356.000 ,0.356 ,388.531 ,0.389 ,2.6226,,,,,,,4861.6830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BORT,BORT,Border Terrier,Border Terrier,,,,,5.897 ,7.031 ,6.000 ,7.000 ,5.216 ,6.350 ,5.000 ,6.000 ,6.123 ,6.464 ,5.783 ,6.000 ,6.500 ,5.500 ,7.090 ,7.490 ,6.690 ,,,,,,6.062 ,7.090 ,6.576 ,12.000 ,15.000 ,13.000 ,15.000 ,13.500 ,14.000 ,,12.000 ,13.800 ,13.750 ,12.900 ,13.183 ,5.500 ,,,,,,5.100 ,,,,,5.000 ,,,,4.390 ,,,5.500 ,4.830 ,4.998 ,2.290 ,2.100 ,283.495 ,177.000 ,,193.000 ,,184.000 ,170.000 ,283.495 ,185.000 ,0.185 ,217.832 ,0.218 ,1.0886,,,,,,,2711.1119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
