abrevParker2017,abrevGaramszegi2019,breed,synonym,w1AKC,w2AKC,w1Bell,w2Bell,w1malesAKC,w2malesAKC,w1malesBell,w2malesBell,w1femalesAKC,w2femalesAKC,w1femalesBell,w2femalesBell,wAKC,wAKCmales,wAKCfemales,wBell2012,wBellmales,wBellfemales,wFan2016,wFan2016males,wFan2016females,wSpeakman2003,wKraus2013,wGerstner2010,wHawthorne2004,wCareau2010,weightcompendia,weightpapers,weight,l1AKC,l2AKC,l1Bell,l2Bell,lAKC,lBell,lLeroy2015b,lONeill2013,lMichell1999,lcompendia,lpapers,lifespan,lsClark2017,lsBell2012,lsLeroy2015,lsOkkens1993,lsSchrack2017,lsGroppetti2015,lsBorge2011,lsNielen2000,lsOgrak2009,lsWildt1982,lsYilmaz2007,lsGroppetti2017,lsMila2015,lsThomassen2006,lsGoleman2015,lsGubbels2008,lswebsite1,lswebsite2,lscompendia,lspapers,littersize,malesperlitterGubbels2008,femalesperlitterGubbels2008,bwClark2017,bwFan2016,bwYlmaz2007,bwGroppetti2017,bwGroppetti2015,bwFan2016males,bwFan2016females,bwcompendia,bwpapers,bwpaperskg,bw,bwkg,bwkgxls,grHawthorne2004,grPosadas2014,expgr,T99Hawthorne2004,T99Posadas2014,T99,growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULD,BULD,Bulldog,Bulldog,,,,,,,22.500 ,,,,18.000 ,,,,,20.250 ,22.500 ,18.000 ,24.500 ,24.500 ,,,24.000 ,,,22.680 ,20.250 ,23.727 ,21.988 ,8.000 ,10.000 ,10.000 ,12.000 ,9.000 ,11.000 ,,8.400 ,6.700 ,10.000 ,7.550 ,8.367 ,,,,,,6.000 ,5.400 ,,,,,3.000 ,,,,,,,,4.800 ,4.800 ,,,,340.000 ,,316.000 ,,340.000 ,,,328.000 ,0.328 ,328.000 ,0.328 ,1.5744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULM,BULM,Bullmastiff,Bullmastiff,,,,,49.895 ,58.967 ,50.000 ,59.000 ,45.359 ,54.431 ,45.500 ,54.500 ,52.163 ,54.431 ,49.895 ,52.250 ,54.500 ,50.000 ,55.000 ,55.000 ,,,54.000 ,,,,52.207 ,54.500 ,53.353 ,7.000 ,9.000 ,9.000 ,10.000 ,8.000 ,9.500 ,,,8.600 ,8.750 ,8.600 ,8.675 ,,,,,,10.000 ,6.900 ,,,,,7.000 ,,6.700 ,,,,,,7.650 ,7.650 ,,,,635.000 ,,597.500 ,,635.000 ,,,616.250 ,0.616 ,616.250 ,0.616 ,4.7143,,,,,,,8364.5972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULT,BULT,Bull Terrier,Bull Terrier,22.680 ,31.751 ,24.000 ,28.000 ,,,,,,,,,27.216 ,,,26.000 ,,,27.690 ,27.690 ,,,29.000 ,,,,26.608 ,28.345 ,27.476 ,12.000 ,13.000 ,11.000 ,13.000 ,12.500 ,12.000 ,,11.200 ,12.900 ,12.250 ,12.050 ,12.117 ,,,,,,,5.500 ,,,,,7.000 ,,,,,,,,6.250 ,6.250 ,,,,283.000 ,,330.000 ,,283.000 ,,,306.500 ,0.307 ,306.500 ,0.307 ,1.9156,,,,,,,8779.4519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAIR,CAIR,Cairn Terrier,Cairn Terrier,,,,,,,6.400 ,,,,6.000 ,,,,,6.200 ,6.400 ,6.000 ,7.000 ,7.000 ,,,7.000 ,,6.300 ,6.350 ,6.200 ,6.663 ,6.431 ,13.000 ,15.000 ,12.000 ,15.000 ,14.000 ,13.500 ,13.420 ,13.400 ,13.200 ,13.750 ,13.340 ,13.443 ,,,3.890 ,,,,4.400 ,,,,,,,,6.610 ,3.980 ,,,,4.720 ,4.720 ,2.010 ,1.970 ,,193.000 ,,,,193.000 ,,,193.000 ,0.193 ,193.000 ,0.193 ,0.9110,16.900 ,,16.900 ,42.900 ,,42.900 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANE,CANE,Italian Cane Corso,Cane Corso Italiano,,,,,,,45.000 ,50.000 ,,,40.000 ,45.000 ,,,,45.000 ,47.500 ,42.500 ,45.000 ,47.500 ,42.500 ,,,,,,45.000 ,45.000 ,45.000 ,9.000 ,12.000 ,10.000 ,11.000 ,10.500 ,10.500 ,,,,10.500 ,,10.500 ,,,,,,6.000 ,8.200 ,,,,,6.500 ,,,,,,,,6.900 ,6.900 ,,,,432.500 ,,494.000 ,,465.000 ,400.000 ,,463.250 ,0.463 ,463.250 ,0.463 ,3.1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARD,CARD,Welsh Corgi Cardigan,Welsh Corgi Cardigan,,,,,13.608 ,17.236 ,13.500 ,17.000 ,11.340 ,15.422 ,11.500 ,15.500 ,14.402 ,15.422 ,13.381 ,14.375 ,15.250 ,13.500 ,12.500 ,12.500 ,,,,,,,14.388 ,12.500 ,13.444 ,12.000 ,15.000 ,12.000 ,15.000 ,13.500 ,13.500 ,,,,13.500 ,,13.500 ,5.500 ,,,,,,,,,,,,,,,,,,5.500 ,,5.500 ,,,340.194 ,340.000 ,,,,340.000 ,,340.194 ,340.000 ,0.340 ,340.097 ,0.340 ,1.8705,,,,,,,4134.5407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCRT,CCRT,Curly Coated Retriever,Curly Coated Retriever,27.216 ,43.091 ,32.000 ,36.000 ,,,,,,,,,35.153 ,,,34.000 ,,,37.420 ,37.420 ,,,,,,,34.577 ,37.420 ,35.998 ,10.000 ,12.000 ,10.000 ,13.000 ,11.000 ,11.500 ,,,,11.250 ,,11.250 ,,,,,,,,,,,,,,,,,7.500 ,7.000 ,,,7.250 ,,,,358.000 ,,,,358.000 ,,,358.000 ,0.358 ,358.000 ,0.358 ,2.5955,,,,,,,9719.3799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIH,CHIH,Chihuahua,Chihuahueño,2.722 ,2.722 ,2.500 ,,,,,,,,,,2.722 ,,,2.500 ,,,1.410 ,1.410 ,,,2.000 ,2.313 ,,1.810 ,2.648 ,1.883 ,2.265 ,14.000 ,16.000 ,12.000 ,14.000 ,15.000 ,13.000 ,,7.100 ,13.000 ,14.000 ,10.050 ,11.367 ,2.450 ,,,,,2.830 ,3.200 ,,,,,3.000 ,,,,,,,2.450 ,3.010 ,2.870 ,,,,113.000 ,,140.000 ,146.900 ,113.000 ,,,133.300 ,0.133 ,133.300 ,0.133 ,0.3826,,,,,,,1941.6744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIN,CHIN,Japanese Chin,Chin,3.175 ,4.990 ,2.000 ,5.000 ,,,,,,,,,4.082 ,,,3.500 ,,,,,,,,,,,3.791 ,,3.791 ,10.000 ,12.000 ,12.000 ,14.000 ,11.000 ,13.000 ,,,,12.000 ,,12.000 ,4.000 ,,,,,,1.900 ,,,,,,,,,,,,4.000 ,1.900 ,2.950 ,,,198.447 ,,,,,,,198.447 ,,,198.447 ,0.198 ,0.5854,,,,,,,1957.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOW,CHOW,Chow Chow,Chow Chow,20.412 ,31.751 ,20.000 ,32.000 ,,,,,,,,,26.082 ,,,26.000 ,,,,,,,25.000 ,27.220 ,,24.950 ,26.041 ,25.723 ,25.882 ,8.000 ,12.000 ,11.000 ,12.000 ,10.000 ,11.500 ,,,13.500 ,10.750 ,13.500 ,12.125 ,,,,,,,4.400 ,,,,,4.000 ,,,,4.070 ,,,,4.157 ,4.157 ,1.940 ,2.130 ,,,,400.000 ,,,,,400.000 ,0.400 ,400.000 ,0.400 ,1.6627,,,,,,,6420.3850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CKCS,CKCS,Cavalier King Charles Spaniel,Cavalier King Charles Spaniel,5.897 ,8.165 ,,,,,6.000 ,8.000 ,,,6.000 ,7.500 ,7.031 ,,,6.875 ,7.000 ,6.750 ,6.350 ,6.350 ,,,,,,,6.927 ,6.350 ,6.638 ,12.000 ,15.000 ,9.000 ,14.000 ,13.500 ,11.500 ,,12.000 ,10.700 ,12.500 ,11.350 ,11.733 ,4.500 ,,,,,8.000 ,4.100 ,,,,,4.500 ,,,3.880 ,,,,4.500 ,5.120 ,4.996 ,,,184.272 ,210.000 ,,230.000 ,,210.000 ,,184.272 ,220.000 ,0.220 ,208.091 ,0.208 ,1.0396,,,,,,,3278.6613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLL,COLL,Collie,Collie,,,,,27.216 ,34.019 ,27.000 ,34.000 ,22.680 ,29.483 ,23.000 ,29.500 ,28.350 ,30.617 ,26.082 ,28.375 ,30.500 ,26.250 ,30.500 ,30.500 ,,,31.000 ,24.950 ,,22.000 ,28.362 ,27.113 ,27.737 ,12.000 ,14.000 ,14.000 ,16.000 ,13.000 ,15.000 ,,,13.000 ,14.000 ,13.000 ,13.500 ,,,,,,,,,,,,,,,,,,,,,,,,,482.000 ,,155.000 ,,482.000 ,,,318.500 ,0.319 ,318.500 ,0.319 ,,,,,,,,8800.9419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTO,COTO,Coton de Tulear,Coton de Tulear,,,,,4.082 ,6.804 ,,,3.629 ,5.897 ,,,5.103 ,5.443 ,4.763 ,,,,6.250 ,6.250 ,6.250 ,,,,,,5.103 ,6.250 ,5.676 ,15.000 ,19.000 ,,,17.000 ,,,,,17.000 ,,17.000 ,,,,,,,,,,,,,,,,,5.000 ,2.000 ,,,3.500 ,,,,213.000 ,,,,214.000 ,212.000 ,,213.000 ,0.213 ,213.000 ,0.213 ,0.7455,,,,,,,2295.7324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRES,CRES,Chinese Crested Dog,Chinese Crested Dog,3.629 ,5.443 ,2.000 ,5.500 ,,,,,,,,,4.536 ,,,3.750 ,,,4.500 ,4.500 ,,,,,,,4.143 ,4.500 ,4.321 ,13.000 ,18.000 ,12.000 ,13.000 ,15.500 ,12.500 ,,,,14.000 ,,14.000 ,4.000 ,,,,,2.500 ,4.300 ,,,,,3.000 ,,,,,,,4.000 ,3.267 ,3.450 ,,,,208.000 ,,155.000 ,,208.000 ,,,181.500 ,0.182 ,181.500 ,0.182 ,0.6262,,,,,,,2399.1295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DACH,DACH,Dachshund standard,Dachshund standard,7.257 ,14.515 ,5.000 ,14.500 ,,,,,,,,,10.886 ,,,9.750 ,,,10.880 ,10.880 ,,,9.000 ,,,8.620 ,10.318 ,9.500 ,9.909 ,12.000 ,16.000 ,12.000 ,15.000 ,14.000 ,13.500 ,,,12.200 ,13.750 ,12.200 ,12.975 ,,,,,,,5.400 ,,,,,4.000 ,,,,,,,,4.700 ,4.700 ,,,,227.000 ,,173.000 ,,227.000 ,,,200.000 ,0.200 ,200.000 ,0.200 ,0.9400,,,,,,,5343.1040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALM,DALM,Dalmatian,Dalmatian,20.412 ,31.751 ,23.000 ,25.000 ,,,,,,,,,26.082 ,,,24.000 ,,,23.360 ,23.360 ,,,25.000 ,,,24.950 ,25.041 ,24.437 ,24.739 ,11.000 ,13.000 ,12.000 ,14.000 ,12.000 ,13.000 ,,13.300 ,13.000 ,12.500 ,13.150 ,12.933 ,,,,,,,8.400 ,,,,,9.000 ,,,,,,,,8.700 ,8.700 ,,,,404.000 ,,368.000 ,,404.000 ,,,386.000 ,0.386 ,386.000 ,0.386 ,3.3582,,,,,,,6656.8756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANE,DANE,Great Dane,Great Dane,,,45.500 ,55.000 ,63.503 ,79.379 ,,,49.895 ,63.503 ,,,64.070 ,71.441 ,56.699 ,50.250 ,,,72.000 ,72.000 ,,62.800 ,73.000 ,,51.100 ,45.360 ,59.463 ,60.852 ,60.158 ,7.000 ,10.000 ,7.000 ,9.000 ,8.500 ,8.000 ,,6.000 ,8.400 ,8.250 ,7.200 ,7.550 ,,,,,,11.000 ,7.100 ,,,,,10.000 ,,,,,,,,9.367 ,9.367 ,,,,625.000 ,,647.000 ,,625.000 ,,,636.000 ,0.636 ,636.000 ,0.636 ,5.9572,13.500 ,,13.500 ,52.100 ,,52.100 ,9973.8789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDBX,DDBX,Dogue de Bordeaux,Dogue de Bordeaux,,,,,,,50.000 ,,,,45.000 ,,,,,47.500 ,50.000 ,45.000 ,,,,,,,,,47.500 ,,47.500 ,5.000 ,8.000 ,,,6.500 ,,,5.500 ,,6.500 ,5.500 ,6.000 ,,,,,,,8.100 ,,,,,8.000 ,,,,,,,,8.050 ,8.050 ,,,,,,565.000 ,,,,,565.000 ,0.565 ,565.000 ,0.565 ,4.5483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEER,DEER,Scottish Deerhound,Deerhound,,,,,38.555 ,49.895 ,38.500 ,50.000 ,34.019 ,43.091 ,34.000 ,43.000 ,41.390 ,44.225 ,38.555 ,41.375 ,44.250 ,38.500 ,,,,,,,,,41.383 ,,41.383 ,8.000 ,11.000 ,8.000 ,11.000 ,9.500 ,9.500 ,,,9.500 ,9.500 ,9.500 ,9.500 ,,,,,,,8.000 ,,,,,6.000 ,,,,,,,,7.000 ,7.000 ,,,,,,480.000 ,,,,,480.000 ,0.480 ,480.000 ,0.480 ,3.3600,,,,,,,8522.9729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOBP,DOBP,Dobermann Pinscher,Dobermann,,,,,34.019 ,45.359 ,30.000 ,36.500 ,27.216 ,40.823 ,30.000 ,34.000 ,36.854 ,39.689 ,34.019 ,32.625 ,33.250 ,32.000 ,35.000 ,35.000 ,,,35.000 ,,,20.410 ,34.740 ,30.137 ,32.438 ,10.000 ,12.000 ,13.000 ,,11.000 ,13.000 ,,9.200 ,9.800 ,11.667 ,9.500 ,10.222 ,,,,,,9.000 ,7.000 ,,,,,9.000 ,,,,,,,,8.333 ,8.333 ,,,,312.000 ,,457.000 ,,312.000 ,,,384.500 ,0.385 ,384.500 ,0.385 ,3.2042,,,,,,,9485.0065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECKR,ECKR,English Cocker Spaniel,English Cocker Spaniel,,,,,12.701 ,15.422 ,13.000 ,15.500 ,11.793 ,14.515 ,12.000 ,14.500 ,13.608 ,14.061 ,13.154 ,13.750 ,14.250 ,13.250 ,14.500 ,14.500 ,,,,,,,13.679 ,14.500 ,14.089 ,12.000 ,14.000 ,12.000 ,15.000 ,13.000 ,13.500 ,,,,13.250 ,,13.250 ,,,,,,,,,,,,5.000 ,,,,,,,,5.000 ,5.000 ,,,,313.000 ,,287.500 ,,313.000 ,,,300.250 ,0.300 ,300.250 ,0.300 ,1.5013,,,,,,,4432.1432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESET,ESET,English Setter,English Setter,,,,,29.483 ,36.287 ,29.500 ,36.500 ,20.412 ,24.948 ,27.000 ,29.500 ,27.783 ,32.885 ,22.680 ,30.625 ,33.000 ,28.250 ,30.500 ,30.500 ,,,31.000 ,27.780 ,,,29.204 ,29.760 ,29.482 ,12.000 ,12.000 ,11.000 ,12.000 ,12.000 ,11.500 ,,,11.200 ,11.750 ,11.200 ,11.475 ,,,,,,,4.900 ,,,,,6.000 ,,5.200 ,,,,,,5.367 ,5.367 ,,,,482.000 ,,389.500 ,,482.000 ,,,435.750 ,0.436 ,435.750 ,0.436 ,2.3385,,,,,,,6275.7912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESSP,ESSP,English Springer Spaniel,English Springer Spaniel,,,,,,,23.000 ,,,,18.000 ,,,,,20.500 ,23.000 ,18.000 ,22.500 ,22.500 ,,,23.000 ,,14.800 ,19.050 ,20.500 ,19.838 ,20.169 ,12.000 ,14.000 ,12.000 ,15.000 ,13.000 ,13.500 ,,13.300 ,13.000 ,13.250 ,13.150 ,13.183 ,,,,,,,7.300 ,,,,,,,,,,,,,7.300 ,7.300 ,,,,300.000 ,,,,300.000 ,,,300.000 ,0.300 ,300.000 ,0.300 ,2.1900,18.300 ,,18.300 ,39.400 ,,39.400 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURA,EURA,Eurasier,Eurasier,18.144 ,31.751 ,,,,,,,,,,,24.948 ,,,,,,,,,,,,,,24.948 ,,24.948 ,12.000 ,16.000 ,,,14.000 ,,,,,14.000 ,,14.000 ,,,,,,,6.700 ,,,,,,,,,,,,,6.700 ,6.700 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBUL,FBUL,French Bulldog,Bouledogue Francais,12.701 ,12.701 ,,12.500 ,,,,,,,,,12.701 ,,,12.500 ,,,9.980 ,9.980 ,,,,,,,12.634 ,9.980 ,11.307 ,10.000 ,12.000 ,11.000 ,12.000 ,11.000 ,11.500 ,,,,11.250 ,,11.250 ,,,,,,6.000 ,4.700 ,,,,,,,,4.170 ,,,,,4.957 ,4.957 ,,,,255.000 ,,,,255.000 ,,,255.000 ,0.255 ,255.000 ,0.255 ,1.2640,,,,,,,4880.6180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCR,FCR,Flatcoated Retriever,Flatcoated Retriever,27.216 ,31.751 ,27.000 ,36.500 ,,,,,,,,,29.483 ,,,31.750 ,,,29.500 ,29.500 ,29.500 ,,,32.660 ,,,30.617 ,30.553 ,30.585 ,8.000 ,10.000 ,12.000 ,14.000 ,9.000 ,13.000 ,,,9.500 ,11.000 ,9.500 ,10.250 ,,,,,,,8.300 ,,,,,,,,,7.570 ,,,,7.935 ,7.935 ,3.890 ,3.680 ,,288.000 ,,,,284.000 ,292.000 ,,288.000 ,0.288 ,288.000 ,0.288 ,2.2853,,,,,,,10137.3194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIEL,FIEL,Field Spaniel,Field Spaniel,15.876 ,22.680 ,16.000 ,23.000 ,,,,,,,,,19.278 ,,,19.500 ,,,19.250 ,19.250 ,,,,,,,19.389 ,19.250 ,19.319 ,12.000 ,13.000 ,10.000 ,12.000 ,12.500 ,11.000 ,,,,11.750 ,,11.750 ,,,,,,,,,,,,,,,,,5.000 ,5.000 ,,,5.000 ,,,,283.000 ,,,,283.000 ,,,283.000 ,0.283 ,283.000 ,0.283 ,1.4150,,,,,,,6711.8940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINS,FINS,Finnish Spitz,Finnish Spitz,,,14.000 ,16.000 ,11.340 ,14.969 ,,,9.072 ,12.701 ,,,12.020 ,13.154 ,10.886 ,15.000 ,,,,,,,,,,,13.013 ,,13.013 ,13.000 ,15.000 ,12.000 ,15.000 ,14.000 ,13.500 ,,,,13.750 ,,13.750 ,,,,,,,3.700 ,,,,,,,,,,,,,3.700 ,3.700 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLEN,GLEN,Irish Glen of Imaal Terrier,Irish Glen of Imaal Terrier,14.515 ,18.144 ,16.000 ,,,,,,,,,,16.329 ,,,16.000 ,,,,,,,,,,,16.220 ,,16.220 ,10.000 ,15.000 ,10.000 ,15.000 ,12.500 ,12.500 ,,,,12.500 ,,12.500 ,5.000 ,,,,,,5.300 ,,,,,,,,,,,,5.000 ,5.300 ,5.150 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLD,GOLD,Golden Retriever,Golden Retriever,,,,,29.483 ,34.019 ,29.500 ,34.000 ,24.948 ,29.483 ,25.000 ,29.500 ,29.483 ,31.751 ,27.216 ,29.500 ,31.750 ,27.250 ,31.750 ,31.750 ,,,32.000 ,31.300 ,,29.480 ,29.492 ,31.133 ,30.312 ,10.000 ,12.000 ,10.000 ,15.000 ,11.000 ,12.500 ,,12.500 ,12.000 ,11.750 ,12.250 ,12.083 ,,,,,,8.330 ,7.500 ,6.440 ,,,,8.000 ,6.930 ,5.000 ,,,,,,7.033 ,7.033 ,,,,411.000 ,,235.000 ,,411.000 ,,,323.000 ,0.323 ,323.000 ,0.323 ,2.2718,,13.130 ,13.130 ,,61.000 ,61.000 ,9028.0124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GORD,GORD,Gordon Setter,Gordon Setter,,,,,24.948 ,36.287 ,25.000 ,36.500 ,20.412 ,31.751 ,22.500 ,32.000 ,28.350 ,30.617 ,26.082 ,29.000 ,30.750 ,27.250 ,30.620 ,30.620 ,,,31.000 ,,,,28.675 ,30.810 ,29.742 ,12.000 ,13.000 ,10.000 ,12.000 ,12.500 ,11.000 ,,,11.300 ,11.750 ,11.300 ,11.525 ,,,,,,,7.600 ,,,,,8.000 ,,,,,,,,7.800 ,7.800 ,,,,315.000 ,,406.500 ,,315.000 ,,,360.750 ,0.361 ,360.750 ,0.361 ,2.8139,,,,,,,7758.4893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPYR,GPYR,Great Pyrenees,Great Pyrenees,,,,,,,45.500 ,,,,38.500 ,,,,,42.000 ,45.500 ,38.500 ,45.000 ,45.000 ,,,50.000 ,,,,42.000 ,47.500 ,44.750 ,10.000 ,12.000 ,10.000 ,11.000 ,11.000 ,10.500 ,,,,10.750 ,,10.750 ,,,,,,,,,,,,,,,,,9.000 ,8.000 ,,,8.500 ,,,,624.000 ,,,,624.000 ,,,624.000 ,0.624 ,624.000 ,0.624 ,5.3040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREE,GREE,Greenland Dog,Greenland Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.600 ,,,,,,,,,,,,,5.600 ,5.600 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREY,GREY,Greyhound,Greyhound,,,,,29.483 ,31.751 ,29.000 ,32.000 ,,,27.000 ,29.000 ,30.617 ,30.617 ,,29.250 ,30.500 ,28.000 ,30.750 ,32.500 ,29.000 ,,30.000 ,26.990 ,,,29.706 ,29.623 ,29.664 ,10.000 ,13.000 ,10.000 ,12.000 ,11.500 ,11.000 ,,10.800 ,13.200 ,11.250 ,12.000 ,11.750 ,,,,,,,8.900 ,,,,,,,,,,,,,8.900 ,8.900 ,,,,447.500 ,,,,550.000 ,345.000 ,,447.500 ,0.448 ,447.500 ,0.448 ,3.9828,,,,,,,6741.8905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSD,GSD,German Shepherd Dog,German Shepherd Dog,,,34.000 ,43.000 ,29.483 ,40.823 ,,,22.680 ,31.751 ,,,31.184 ,35.153 ,27.216 ,38.500 ,,,38.560 ,38.560 ,38.560 ,,37.000 ,,,29.480 ,33.623 ,35.900 ,34.761 ,7.000 ,10.000 ,12.000 ,14.000 ,8.500 ,13.000 ,10.080 ,11.000 ,10.300 ,10.750 ,10.460 ,10.533 ,9.000 ,,5.100 ,5.900 ,,6.330 ,6.100 ,,,,,7.000 ,5.500 ,,,,,,9.000 ,5.988 ,6.419 ,,,396.893 ,407.500 ,,503.000 ,542.800 ,567.000 ,248.000 ,396.893 ,484.433 ,0.484 ,462.548 ,0.463 ,2.9689,,8.180 ,8.180 ,,70.000 ,70.000 ,6641.8804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSHP,GSHP,German Short Haired Pointing Dog,German Short Haired Pointing Dog,,,,,24.948 ,31.751 ,25.000 ,32.000 ,20.412 ,27.216 ,20.500 ,27.500 ,26.082 ,28.350 ,23.814 ,26.250 ,28.500 ,24.000 ,28.500 ,28.500 ,,,28.000 ,24.380 ,,23.810 ,26.166 ,26.173 ,26.169 ,10.000 ,12.000 ,12.000 ,15.000 ,11.000 ,13.500 ,,,12.300 ,12.250 ,12.300 ,12.275 ,,,,,,,8.300 ,,,,,,,,,,,,,8.300 ,8.300 ,,,,500.000 ,,,,500.000 ,,,500.000 ,0.500 ,500.000 ,0.500 ,4.1500,,,,,,,5116.3080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
