,AFGH,AIRT,AKIT,AMST,ANAT,AUCD,AUSS,AUST,BASS,BEAG,BELS,BERD,BMAL,BMD,BORD,BORT,BORZ,BOST,BOUV,BOX,BRIA,BRIT,BRTR,BRUS,BULM,BULT,CARD,CCRT,CHIH,CHIN,CHOW,CKCS,COTO,CRES,DACH,DALM,DANE,DEER,DOBP,ECKR,ESET,FBUL,FCR,FIEL,GOLD,GORD,GREY,GSD,GSHP,GSMD,GSNZ,GWHP,HUSK,ITGY,KEES,KUVZ,LAB,LEON,MAST,MPIN,MPOO,MSNZ,NEWF,NORF,NOWT,NSDT,OES,PAPI,PARS,POM,PTWD,PUG,PUMI,ROTT,SAMO,SCOT,SCWT,SHIH,SKIP,SSHP,SSNZ,STAF,STBD,TIBM,TIBT,TPOO,VIZS,WEIM,WFOX,WHIP,WHWT,YORK
DOBP,0.848033359,0.826420083,0.827224242,0.884704919,0.885983054,0.881617671,0.881338423,0.866760924,0.854962603,0.864562227,0.856416385,0.852792593,0.892630068,0.84310475,0.877734637,0.845387063,0.86644434,0.863850555,0.874505776,0.771918469,0.866119612,0.884018778,0.858013289,0.86440799,0.84715957,0.801675759,0.87306996,0.86475203,0.901711709,0.838039882,0.823870995,0.83517979,0.856628527,0.879254771,0.8941945,0.87287017,0.877235182,0.82872446,1,0.866872269,0.870405611,0.854637649,0.844736516,0.833685019,0.858940205,0.889102456,0.860872508,0.849129085,0.8900524,0.821284318,0.886024378,0.898178609,0.838739135,0.864256677,0.864057412,0.886739791,0.886008617,0.85545486,0.853310283,0.868533597,0.887364567,0.829337493,0.870070298,0.829308029,0.837944691,0.862751741,0.864736276,0.884239968,0.894051125,0.887628953,0.86653094,0.825679049,0.879460175,0.851810969,0.855660541,0.84836706,0.844865284,0.84918625,0.874186723,0.839521754,0.87344594,0.853428601,0.855861528,0.876401379,0.868094831,0.890327839,0.874508105,0.847573604,0.838895014,0.854321102,0.854156837,0.884912289
ECKR,0.862515801,0.842285843,0.844244699,0.903296305,0.905686823,0.90101989,0.901048432,0.887711855,0.874068154,0.888461736,0.876573352,0.873279275,0.912523417,0.860296192,0.898808249,0.860692721,0.878916065,0.885073801,0.892531657,0.782662535,0.884689291,0.909619718,0.870633111,0.885288901,0.86169602,0.811941312,0.894963273,0.889033338,0.924533335,0.854587609,0.839073132,0.86456139,0.877908813,0.896534567,0.915486945,0.895216704,0.892491977,0.842341782,0.866872269,1,0.896048507,0.875690574,0.868517695,0.900621919,0.88134197,0.91365952,0.872864681,0.860336831,0.912813696,0.838414664,0.900216904,0.918689275,0.854904202,0.882127364,0.8814581,0.905372376,0.909063863,0.870279199,0.868619997,0.885533804,0.910706166,0.845242025,0.887564654,0.843786857,0.852431181,0.88636732,0.886748433,0.9067618,0.917879413,0.906297585,0.893814067,0.843351834,0.900996126,0.869017819,0.869325644,0.864369775,0.86414894,0.868410313,0.893284848,0.855018091,0.891485413,0.869911034,0.874776152,0.896358553,0.88791464,0.91346982,0.898683938,0.866722357,0.852808485,0.870408002,0.867651186,0.904844496
ESET,0.866580629,0.845335163,0.844396728,0.906300018,0.911075201,0.903837608,0.907361856,0.889287677,0.876365723,0.889337623,0.878681514,0.872686281,0.916503329,0.862803707,0.903127115,0.864241729,0.881732534,0.882844278,0.897496262,0.783628538,0.888219214,0.924427529,0.875150126,0.88517041,0.863646808,0.812543116,0.897369057,0.891813933,0.929491608,0.859007043,0.839596125,0.860605695,0.87908808,0.90141363,0.919517422,0.898384782,0.896749208,0.843546857,0.870405611,0.896048507,1,0.875289914,0.867109118,0.863545583,0.886191873,0.945451791,0.877651635,0.865076138,0.922491688,0.8399731,0.903170217,0.931279797,0.856281654,0.883586058,0.883649977,0.909654826,0.913054725,0.87508435,0.870751664,0.890065606,0.914376716,0.84558349,0.894280701,0.84624323,0.856025485,0.887777208,0.888872335,0.908432073,0.920606068,0.90955829,0.894955372,0.841472698,0.904912958,0.870740994,0.875043805,0.868403039,0.864630599,0.869371644,0.896360187,0.857120149,0.893303398,0.872934779,0.875351872,0.898068944,0.891276092,0.918997723,0.908863324,0.873031935,0.856462926,0.872383922,0.871864872,0.907497512
FBUL,0.852657381,0.83950552,0.832609398,0.934887962,0.893575302,0.897468081,0.893772927,0.880108039,0.860517873,0.872245346,0.868040692,0.863144268,0.905904993,0.853485406,0.888486791,0.86246789,0.873649105,0.921019774,0.888217304,0.818594703,0.875034365,0.889290099,0.864217979,0.873168343,0.880555423,0.834285645,0.89028107,0.876781407,0.911804464,0.84385425,0.828495359,0.837892806,0.861866447,0.886501257,0.901371923,0.881750067,0.8944285,0.84063299,0.854637649,0.875690574,0.875289914,1,0.855936283,0.840297621,0.871900937,0.895363345,0.87566027,0.849842784,0.89324856,0.83048221,0.887896985,0.902178822,0.843405951,0.873695018,0.871358332,0.897129198,0.899552095,0.86711662,0.879157757,0.874680236,0.89458392,0.834131507,0.884985172,0.838804453,0.849403748,0.875803606,0.882695202,0.896966734,0.91688895,0.895972904,0.876328523,0.831825879,0.890072969,0.861540325,0.863122548,0.86038131,0.870291416,0.856836394,0.882665907,0.84832269,0.883916089,0.901785772,0.871148732,0.883758497,0.875343808,0.902508609,0.881059778,0.849393091,0.85025987,0.871616005,0.862973041,0.899552056
FCR,0.841610398,0.821162439,0.821895888,0.884500417,0.879755022,0.878236948,0.8791971,0.864243773,0.849159764,0.861301699,0.852354471,0.849986764,0.88930351,0.840844186,0.875067317,0.838903988,0.859919239,0.864544595,0.871419445,0.77156866,0.861487011,0.88253221,0.848403808,0.859044033,0.849234169,0.795917758,0.870560669,0.8683696,0.896888516,0.832832451,0.817880249,0.831317035,0.851222142,0.872391398,0.889182649,0.870176218,0.873121336,0.824133124,0.844736516,0.868517695,0.867109118,0.855936283,1,0.832453747,0.881225397,0.888207706,0.856956056,0.838722021,0.885880455,0.818800665,0.875456659,0.89863607,0.831553608,0.859284303,0.859088438,0.881564229,0.905387974,0.848966172,0.853408004,0.862316292,0.884362651,0.822797447,0.87596043,0.824375015,0.833345542,0.864916114,0.865429549,0.879544919,0.890608678,0.88249637,0.865371352,0.822044544,0.874938411,0.845186865,0.850044893,0.84411899,0.843161217,0.846072813,0.868947587,0.834331158,0.869055564,0.854213289,0.852353823,0.870935704,0.863784885,0.889652713,0.872465637,0.844863317,0.832695415,0.85048686,0.847266029,0.881716105
FIEL,0.830780689,0.814030859,0.811489885,0.866432556,0.869418026,0.863023491,0.866727962,0.853269082,0.841484473,0.854489274,0.840249698,0.837983001,0.875368495,0.825908546,0.864356715,0.82900047,0.84540846,0.848773264,0.860071296,0.752434888,0.851779944,0.876197056,0.840135773,0.848800984,0.826852724,0.783500244,0.860674826,0.85511076,0.888524255,0.823192894,0.806674776,0.833864093,0.840476755,0.863315515,0.879532206,0.861189548,0.857045228,0.810016557,0.833685019,0.900621919,0.863545583,0.840297621,0.832453747,1,0.850172413,0.879394526,0.839880762,0.82859726,0.878963038,0.80500248,0.864265551,0.886566072,0.821582466,0.847564134,0.846198976,0.869547567,0.872734932,0.838202869,0.83447794,0.852798926,0.876310934,0.816447157,0.855155046,0.81762083,0.824480149,0.850907054,0.851245195,0.872591908,0.881251308,0.869976184,0.858717919,0.812924439,0.865424394,0.834785526,0.836323022,0.831591132,0.83346083,0.833430022,0.860359288,0.824011004,0.857469825,0.836370193,0.841159306,0.858651202,0.8537365,0.878453896,0.8659485,0.835236716,0.825023907,0.83767885,0.834790138,0.870614869
GOLD,0.8569484,0.83707462,0.836090352,0.902212984,0.898912534,0.894970069,0.896399918,0.879143463,0.862781579,0.876209184,0.86899779,0.865875734,0.907332529,0.855395332,0.890807887,0.853820548,0.873808332,0.880374234,0.889254022,0.781394027,0.876482061,0.898593796,0.864326651,0.874037527,0.862052144,0.811766964,0.886728471,0.883866082,0.915978943,0.846493312,0.832639639,0.846869496,0.867943358,0.887564892,0.904983649,0.886410847,0.88878318,0.837745504,0.858940205,0.88134197,0.886191873,0.871900937,0.881225397,0.850172413,1,0.906157725,0.870382479,0.854030058,0.902809689,0.832921782,0.891674658,0.913997127,0.847372819,0.875659335,0.874368744,0.899169433,0.913734972,0.86666868,0.868568803,0.876035232,0.902031798,0.835102957,0.892214762,0.837218664,0.847401983,0.879990866,0.879195739,0.898025016,0.908496971,0.898371053,0.881746742,0.834277351,0.893544711,0.86098921,0.865313465,0.857354713,0.857105103,0.859824698,0.886590831,0.849674324,0.884638804,0.870571762,0.868182231,0.887491524,0.879929698,0.906151536,0.890379774,0.860278209,0.848646625,0.865985569,0.862645216,0.898285427
GORD,0.885694647,0.862097306,0.862414087,0.924761007,0.931656828,0.921765187,0.926283909,0.910417529,0.894722168,0.907583655,0.896121426,0.88968032,0.936112267,0.882001508,0.922828788,0.883173127,0.90260639,0.903805711,0.916714542,0.799730824,0.907099632,0.941641434,0.89289804,0.904469881,0.883009679,0.827553316,0.916259417,0.909735477,0.950084179,0.876971891,0.858456675,0.876790268,0.892896311,0.919898875,0.940209037,0.917599029,0.916576033,0.862012069,0.889102456,0.91365952,0.945451791,0.895363345,0.888207706,0.879394526,0.906157725,1,0.89456669,0.879552782,0.943595856,0.858107372,0.921705243,0.95203939,0.874133667,0.903535995,0.904189572,0.930592688,0.933682599,0.894836734,0.890967983,0.91084394,0.934085585,0.862172983,0.912866497,0.861746462,0.873365957,0.906283025,0.905609493,0.928522175,0.940305715,0.930233069,0.915272676,0.862056502,0.923019475,0.887336852,0.89319161,0.886640111,0.882334074,0.890138976,0.917582573,0.874366051,0.914619124,0.892693937,0.895732853,0.919141219,0.911158729,0.939769269,0.930582406,0.890710323,0.873521312,0.88988434,0.890170724,0.928097963
GREY,0.854972684,0.838966939,0.834054139,0.905200742,0.895725703,0.896894555,0.898414488,0.879941746,0.86253599,0.87282883,0.870629468,0.867937108,0.910653999,0.852916682,0.894997667,0.856629531,0.894304464,0.881682841,0.891343904,0.783734961,0.880070042,0.889924193,0.86449372,0.871475018,0.864277825,0.813190642,0.890639722,0.876193475,0.913442028,0.841181303,0.828677598,0.838549241,0.861194506,0.886938298,0.899885681,0.882459122,0.893992812,0.874320828,0.860872508,0.872864681,0.877651635,0.87566027,0.856956056,0.839880762,0.870382479,0.89456669,1,0.855673789,0.894875541,0.831070843,0.889963395,0.906535336,0.843961514,0.892839723,0.87246388,0.898910359,0.901020053,0.867844873,0.869044867,0.871865563,0.894757897,0.835947833,0.884270278,0.837312136,0.846266954,0.875414875,0.886853906,0.894074756,0.910617375,0.89766325,0.873824541,0.830839077,0.892015637,0.861627689,0.862895617,0.859047183,0.859988962,0.854666057,0.883518041,0.852011116,0.881933867,0.87298976,0.870641717,0.884010253,0.873918334,0.896960003,0.882010618,0.854400751,0.844996268,0.907274182,0.860674613,0.89645277
GSD,0.842987893,0.819460086,0.824499177,0.878788076,0.881928125,0.876667185,0.882157742,0.861377552,0.847012599,0.858124872,0.856431197,0.848266681,0.901533187,0.837932925,0.874749414,0.837456696,0.862516032,0.855787688,0.870652109,0.762327341,0.862923993,0.876211858,0.848824831,0.856363266,0.840502343,0.791320108,0.871275308,0.859439843,0.895270013,0.832563845,0.820355471,0.825463212,0.849817775,0.871318721,0.887189125,0.86453495,0.869639527,0.825880912,0.849129085,0.860336831,0.865076138,0.849842784,0.838722021,0.82859726,0.854030058,0.879552782,0.855673789,1,0.881860688,0.818924037,0.875157744,0.893351521,0.835955434,0.856365155,0.862229088,0.884519101,0.879935627,0.856550285,0.844889827,0.858575853,0.881809255,0.822353659,0.865413417,0.823125342,0.829320449,0.861718054,0.861836944,0.878627123,0.890583828,0.883417658,0.872898455,0.821531899,0.878909289,0.846055502,0.852050813,0.843614401,0.838958751,0.843837151,0.869560782,0.833171389,0.867501974,0.847395411,0.852644696,0.873898331,0.86089257,0.885124648,0.869422443,0.84047775,0.830406851,0.85084538,0.845070852,0.879562671
